Gene ID,Transcript ID,Chromosome,Start,Stop,Strand,Length,Exon count,Exon lengths,Relative Exon starts,GC content,Coding potential,Mean expression ,Max expression ,Max expression time-point ,Log2 fold change ,Significant Differential GENE Expression,Max JS Specificity score ,Correlation with sense ,Sense annotation,Sense annotation description,FPKM T6,FPKM T14,FPKM T20,FPKM T24,FPKM T28,FPKM T32,FPKM T36,FPKM T40,FPKM T44,FPKM T48,FPKM TT8,FPKM R,FPKM ET,FPKM LT,FPKM S
XLOC_000245,TCONS_00000309,Pf3D7_01_v3,384577,386151,-,1574,1,"1574,","0,",0.19,,6.38,12.48,T20,2.37,,0.15,-0.26,"PF3D7_0109900.1,PF3D7_0109900.2","phosphatidate cytidylyltransferase, putative",4.68,6.42,12.48,9.07,6.72,8.59,6.89,5.61,5.89,1.61,2.22,4.75,9.27,18.63,7.12
XLOC_000261,TCONS_00000331,Pf3D7_01_v3,486239,487222,-,773,2,"561,212,","0,771,",0.17,,0.97,4.47,T20,2.45,,0.32,-0.72,PF3D7_0112900,"Plasmodium exported protein, unknown function",0.00,1.19,4.47,3.25,1.16,0.29,0.00,0.32,0.00,0.00,0.00,1.55,0.00,0.01,0.00
XLOC_000261,TCONS_00000332,Pf3D7_01_v3,486239,487396,-,1035,2,"906,129,","0,1028,",0.18,,3.43,15.33,T24,4.03,,0.28,-0.72,PF3D7_0112900,"Plasmodium exported protein, unknown function",0.00,1.86,13.64,15.33,4.04,1.26,1.16,0.41,0.00,0.00,0.00,3.59,2.08,0.83,0.63
XLOC_000266,TCONS_00000337,Pf3D7_01_v3,517064,518937,-,1873,1,"1873,","0,",0.18,,9.51,28.89,TT8,3.64,YES,0.19,0.56,PF3D7_0113600,"surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene (SURF1.2)",4.30,21.79,25.93,9.42,5.01,3.27,1.45,1.50,1.61,1.40,28.89,10.52,3.01,2.34,1.34
XLOC_000276,TCONS_00000349,Pf3D7_01_v3,604305,605828,-,1523,1,"1523,","0,",0.29,,4.04,13.83,T14,3.40,YES,0.22,0.13,PF3D7_0115600,rifin (RIF),2.41,13.83,11.63,4.09,2.25,0.79,0.70,0.44,0.41,0.63,7.27,12.96,8.66,3.05,1.18
XLOC_000282,TCONS_00000355,Pf3D7_02_v3,108181,110588,+,2407,1,"2407,","0,",0.17,,9.54,20.77,T20,3.70,,0.16,-0.53,PF3D7_0202100,"Plasmodium exported protein (PHISTc), unknown function,liver stage associated protein 2 (LSAP2)",3.48,13.92,20.77,17.59,16.89,14.02,6.78,2.24,2.49,0.68,6.09,0.00,0.00,0.00,0.00
XLOC_000292,TCONS_00000367,Pf3D7_02_v3,171350,172123,+,773,1,"773,","0,",0.19,,3.32,14.86,TT8,3.99,,0.25,-0.57,PF3D7_0203800,"conserved Plasmodium protein, unknown function",1.26,7.42,5.32,3.69,2.28,0.77,0.38,0.52,0.00,0.00,14.86,7.65,2.12,2.04,1.02
XLOC_000296,TCONS_00000374,Pf3D7_02_v3,208994,210323,+,1329,1,"1329,","0,",0.19,,8.23,21.42,TT8,3.02,,0.17,-0.75,PF3D7_0204800,"3'-5' exonuclease, putative",1.76,13.92,20.04,10.95,5.39,4.40,2.74,2.97,4.67,2.24,21.42,15.32,10.23,10.56,11.28
XLOC_000301,TCONS_00000383,Pf3D7_02_v3,232855,233932,+,1077,1,"1077,","0,",0.17,,4.89,17.90,TT8,3.32,,0.21,-0.44,PF3D7_0205800,"conserved Plasmodium protein, unknown function",3.13,13.51,6.36,4.63,2.62,1.16,0.89,1.07,1.61,0.93,17.90,6.40,1.82,0.84,0.93
XLOC_000305,TCONS_00000391,Pf3D7_02_v3,269704,270345,+,641,1,"641,","0,",0.16,,15.07,70.88,TT8,5.07,,0.21,0.53,PF3D7_0206600,"transcription factor, putative",9.91,34.84,19.02,14.21,5.66,1.14,1.31,2.11,1.21,5.44,70.88,23.01,5.12,3.44,1.87
XLOC_000307,TCONS_00000394,Pf3D7_02_v3,275177,276713,+,1536,1,"1536,","0,",0.19,,38.85,129.69,T44,6.36,,0.19,0.86,"PF3D7_0206900.1,PF3D7_0206900.2",merozoite surface protein 5 (MSP5),45.12,5.53,3.01,1.19,0.59,2.36,12.66,56.93,129.69,110.68,59.54,11.02,1.29,4.38,240.78
XLOC_000310,TCONS_00000397,Pf3D7_02_v3,317560,319408,+,1848,1,"1848,","0,",0.30,,3.49,12.71,T48,3.68,,0.24,0.85,PF3D7_0207900,serine repeat antigen 2 (SERA2),0.95,0.54,0.27,0.07,0.09,0.41,4.21,7.58,9.45,12.71,2.09,1.06,0.28,2.05,26.27
XLOC_000328,TCONS_00000422,Pf3D7_02_v3,459522,460831,+,1309,1,"1309,","0,",0.20,,1.46,3.33,T44,1.77,,0.19,0.14,PF3D7_0211400,beta-ketoacyl-ACP synthase III (KASIII),1.45,0.29,0.27,0.43,0.83,2.36,2.29,3.30,3.33,0.38,1.19,0.41,0.20,5.01,10.24
XLOC_000344,TCONS_00000452,Pf3D7_02_v3,574354,576092,+,1738,1,"1738,","0,",0.21,,5.76,19.04,TT8,3.22,,0.19,-0.77,PF3D7_0214200,"mitochondrial ribosomal protein L13 precursor, putative",2.92,13.85,8.81,4.80,1.95,2.74,1.58,3.14,3.36,1.16,19.04,18.39,4.21,9.32,8.60
XLOC_000359,TCONS_00000477,Pf3D7_02_v3,696025,697378,+,1353,1,"1353,","0,",0.19,,2.11,12.41,T6,3.74,,0.30,0.62,PF3D7_0216800,"conserved Plasmodium membrane protein, unknown function",12.41,0.52,0.26,0.40,0.00,0.08,0.34,1.10,4.10,2.13,1.90,2.70,1.14,0.15,1.11
XLOC_000367,TCONS_00000490,Pf3D7_02_v3,747288,749412,+,880,5,"170,65,194,116,335,","0,487,1044,1389,1789,",0.22,,12.15,28.25,T44,2.23,,0.15,0.20,PF3D7_0218300,"apicoplast RNA methyltransferase precursor, putative",13.03,5.40,10.03,9.84,8.75,11.98,13.59,15.05,28.25,5.24,12.50,4.32,4.96,8.52,27.24
XLOC_000377,TCONS_00000506,Pf3D7_02_v3,812919,814454,+,1535,1,"1535,","0,",0.18,,7.16,17.42,TT8,2.59,,0.16,0.15,PF3D7_0220300,"Plasmodium exported protein, unknown function",9.66,6.01,9.41,5.97,5.21,6.53,2.07,2.61,10.67,3.23,17.42,6.70,1.03,2.14,11.00
XLOC_000401,TCONS_00000531,Pf3D7_02_v3,918206,919489,+,1283,1,"1283,","0,",0.33,,0.84,2.20,T44,1.68,,0.22,-0.62,PF3D7_0223500,"erythrocyte membrane protein 1, PfEMP1 (VAR)",0.00,0.23,0.00,0.37,0.95,1.49,1.21,1.81,2.20,0.63,0.36,0.16,2.13,5.65,6.05
XLOC_000427,TCONS_00000567,Pf3D7_02_v3,140514,141077,-,563,1,"563,","0,",0.22,,5.29,11.13,T6,2.94,,0.17,0.63,PF3D7_0202900,"zinc finger protein, putative",11.13,1.81,0.59,1.82,2.19,3.88,9.51,9.35,8.92,1.69,7.35,3.01,0.85,10.62,28.18
XLOC_000432,TCONS_00000575,Pf3D7_02_v3,166598,168583,-,1985,1,"1985,","0,",0.18,,1.86,4.47,T24,2.45,,0.20,-0.91,PF3D7_0203600,"conserved Plasmodium protein, unknown function",3.39,2.96,3.72,4.47,1.39,1.13,0.34,0.00,0.00,0.31,2.77,3.08,1.26,0.27,0.00
XLOC_000444,TCONS_00000596,Pf3D7_02_v3,245425,247046,-,1621,1,"1621,","0,",0.18,,11.20,27.77,TT8,3.75,,0.18,-0.53,PF3D7_0206100,"iron-sulfur assembly protein, putative (SufE)",26.41,2.10,1.96,1.34,1.14,1.84,3.00,8.10,22.64,26.89,27.77,7.00,1.74,5.22,34.05
XLOC_000477,TCONS_00000650,Pf3D7_02_v3,467493,469376,-,1883,1,"1883,","0,",0.18,,3.97,8.80,T32,2.44,,0.17,0.56,PF3D7_0211600,"dolichol-linked oligosaccharide biosynthesis enzyme, putative",6.08,1.95,0.81,1.41,3.86,8.80,5.95,5.32,5.68,1.68,2.08,1.56,3.61,14.51,7.16
XLOC_000478,TCONS_00000651,Pf3D7_02_v3,472361,474240,-,1879,1,"1879,","0,",0.19,,8.49,24.01,T20,3.71,,0.17,-0.30,PF3D7_0211700,"protein kinase, putative (TKL1)",1.44,13.59,24.01,11.62,7.66,13.48,8.40,6.50,3.22,0.91,2.63,18.36,14.46,33.72,15.46
XLOC_000483,TCONS_00000657,Pf3D7_02_v3,529613,531996,-,2383,1,"2383,","0,",0.22,,3.41,12.58,T44,3.58,,0.22,0.03,PF3D7_0212800,"multidrug efflux pump, putative",5.68,0.92,0.51,0.13,0.22,0.98,2.48,7.36,12.58,2.31,4.38,1.53,0.56,1.19,19.86
XLOC_000491,TCONS_00000668,Pf3D7_02_v3,591059,592585,-,1526,1,"1526,","0,",0.17,,10.51,61.95,T48,5.98,YES,0.28,-0.82,PF3D7_0214500,"conserved Plasmodium protein, unknown function",12.51,1.40,0.12,0.00,0.08,0.08,0.08,2.99,18.25,61.95,18.21,6.06,0.53,0.00,19.49
XLOC_000493,TCONS_00000670,Pf3D7_02_v3,607977,609731,-,1754,1,"1754,","0,",0.23,,4.81,16.90,T44,4.16,,0.23,0.10,PF3D7_0214800,"conserved Plasmodium membrane protein, unknown function",8.73,0.41,0.10,0.00,0.20,0.45,1.52,13.03,16.90,3.22,8.33,1.48,0.15,0.12,47.94
XLOC_000507,TCONS_00000692,Pf3D7_02_v3,717754,719210,-,1456,1,"1456,","0,",0.17,,9.49,33.85,T44,4.99,,0.22,-0.34,PF3D7_0217400,"conserved Plasmodium protein, unknown function",20.16,2.23,0.95,0.14,0.19,0.09,2.23,10.65,33.85,10.47,23.42,5.72,0.21,0.50,31.41
XLOC_000518,TCONS_00000708,Pf3D7_02_v3,769926,771115,-,1189,1,"1189,","0,",0.23,,7.01,15.53,T20,2.42,,0.16,0.86,PF3D7_0219100,"conserved protein, unknown function",3.02,11.20,15.53,10.81,7.93,7.68,4.86,2.91,2.33,2.09,8.72,11.95,12.97,19.47,4.52
XLOC_000529,TCONS_00000721,Pf3D7_02_v3,831461,832257,-,796,1,"796,","0,",0.23,,32.26,256.87,TT8,8.01,YES,0.26,-0.42,PF3D7_0220600,"Plasmodium exported protein (hyp9), unknown function",20.09,29.42,5.05,0.49,0.65,0.81,0.00,1.80,11.04,28.66,256.87,11.62,1.05,0.83,4.70
XLOC_000539,TCONS_00000732,Pf3D7_02_v3,913507,914688,-,1181,1,"1181,","0,",0.31,,2.97,8.16,T14,2.86,,0.21,-0.09,PF3D7_0223400,rifin (RIF),1.96,8.16,7.90,4.15,2.33,0.55,0.42,0.29,0.26,0.28,6.37,10.53,6.52,1.55,0.49
XLOC_000542,TCONS_00000735,Pf3D7_03_v3,46115,47340,+,1225,1,"1225,","0,",0.29,,3.52,13.06,T14,3.39,,0.22,0.01,PF3D7_0300200,rifin (RIF),2.36,13.06,8.32,3.05,1.39,0.93,0.34,0.34,0.63,0.99,7.34,11.97,8.20,2.19,0.79
XLOC_000547,TCONS_00000740,Pf3D7_03_v3,81926,83238,+,1312,1,"1312,","0,",0.24,,13.43,93.01,TT8,6.40,,0.27,0.51,PF3D7_0301300,"alpha/beta hydrolase, putative",13.56,27.45,5.18,1.87,0.48,0.15,0.24,0.11,3.38,2.33,93.01,0.00,0.00,0.00,0.00
XLOC_000554,TCONS_00000748,Pf3D7_03_v3,132274,133244,+,970,1,"970,","0,",0.17,,1.96,11.00,T14,3.58,,0.30,-0.24,PF3D7_0302400,unspecified product,0.48,11.00,4.06,1.13,0.62,0.86,0.00,0.00,0.00,0.41,3.04,3.11,0.95,0.39,0.00
XLOC_000566,TCONS_00000766,Pf3D7_03_v3,221118,222588,+,1470,1,"1470,","0,",0.32,,7.25,31.54,T28,3.97,YES,0.21,0.50,PF3D7_0304600,circumsporozoite (CS) protein (CSP),1.49,1.07,1.14,13.58,31.54,10.37,9.11,4.39,3.41,2.05,1.63,10.04,60.76,63.26,8.13
XLOC_000568,TCONS_00000769,Pf3D7_03_v3,234066,235448,+,1290,2,"147,1143,","0,239,",0.26,,6.77,29.73,TT8,3.75,,0.20,-0.67,PF3D7_0305000,elongation factor Ts (EF-Ts),4.44,13.55,6.03,4.77,3.30,2.67,1.68,1.29,2.97,4.07,29.73,10.32,5.07,9.43,4.83
XLOC_000571,TCONS_00000772,Pf3D7_03_v3,274982,277312,+,2330,1,"2330,","0,",0.21,,6.41,16.02,T14,3.27,,0.17,-0.90,PF3D7_0305600,"AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative",3.51,16.02,12.90,9.03,7.56,5.46,2.03,1.78,2.14,0.77,9.27,19.97,21.48,17.49,7.17
XLOC_000617,TCONS_00000841,Pf3D7_03_v3,579523,580501,+,978,1,"978,","0,",0.29,,2.09,5.84,T36,2.48,,0.20,-0.42,PF3D7_0314400,"serine/threonine protein phosphatase, putative",0.23,0.45,0.45,0.31,1.68,3.77,5.84,3.51,3.26,1.96,1.49,0.83,3.23,23.15,19.93
XLOC_000662,TCONS_00000904,Pf3D7_03_v3,886533,887477,+,944,1,"944,","0,",0.21,,4.33,16.36,T44,3.89,,0.23,0.01,PF3D7_0321200,"N-acetylglucosamine-1-phosphate transferase, putative",8.14,0.51,0.32,0.17,0.43,0.32,3.01,8.49,16.36,4.66,5.27,1.77,0.24,0.59,31.15
XLOC_000690,TCONS_00000936,Pf3D7_03_v3,41286,42471,-,1185,1,"1185,","0,",0.35,,2.03,3.61,T40,1.49,,0.16,-0.43,PF3D7_0300100,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1.29,0.64,1.86,1.85,2.39,1.80,2.20,3.61,3.15,2.51,0.99,5.09,12.95,14.22,13.12
XLOC_000710,TCONS_00000963,Pf3D7_03_v3,139540,141162,-,1622,1,"1622,","0,",0.25,,4.82,12.37,T32,2.73,,0.18,-0.41,PF3D7_0302500,cytoadherence linked asexual protein 3.1 (CLAG3.1),1.02,1.26,1.39,4.11,10.05,12.37,8.19,5.91,2.43,3.93,2.37,2.42,11.93,27.52,3.36
XLOC_000717,TCONS_00000975,Pf3D7_03_v3,179803,180542,-,739,1,"739,","0,",0.20,,2.64,5.88,T6,2.15,,0.17,0.12,PF3D7_0303400,palmitoyl transferase (AnkDHHC),5.88,1.38,0.67,1.34,2.78,4.48,5.35,2.34,1.98,0.55,2.30,0.99,2.28,3.44,3.11
XLOC_000723,TCONS_00000983,Pf3D7_03_v3,215004,217203,-,2199,1,"2199,","0,",0.18,,9.33,18.32,T20,2.56,,0.15,-0.52,PF3D7_0304300,"conserved Plasmodium protein, unknown function",5.54,15.75,18.32,10.75,10.99,14.42,7.42,5.25,2.27,2.60,9.33,19.20,9.99,11.34,4.38
XLOC_000746,TCONS_00001017,Pf3D7_03_v3,353806,355536,-,1730,1,"1730,","0,",0.20,,9.42,32.71,T44,5.08,,0.21,0.10,PF3D7_0308000,"DNA polymerase epsilon subunit b, putative",17.99,1.40,0.39,0.00,0.13,0.32,7.07,21.86,32.71,14.49,7.25,1.74,0.00,2.11,93.11
XLOC_000747,TCONS_00001018,Pf3D7_03_v3,360937,361929,-,992,1,"992,","0,",0.20,,11.26,23.83,T28,3.02,,0.15,-0.74,PF3D7_0308100,"conserved Plasmodium protein, unknown function",11.46,17.34,16.61,17.04,23.83,5.31,8.47,7.56,4.11,2.05,10.05,25.29,16.19,12.70,5.85
XLOC_000749,TCONS_00001023,Pf3D7_03_v3,372596,374534,-,1938,1,"1938,","0,",0.25,,7.81,25.60,TT8,4.65,,0.22,-0.78,PF3D7_0308600,"pre-mRNA-processing factor 19, putative (PRPF19)",15.62,1.10,0.33,0.26,0.06,0.87,1.67,13.87,21.42,5.15,25.60,5.21,0.94,3.11,75.14
XLOC_000755,TCONS_00001033,Pf3D7_03_v3,424613,425914,-,1301,1,"1301,","0,",0.13,,11.27,34.35,TT8,3.94,YES,0.17,-0.64,PF3D7_0310100,calcium-dependent protein kinase 3 (CDPK3),5.65,14.94,19.68,11.43,11.18,8.36,3.14,1.30,10.63,3.29,34.35,14.13,7.16,4.04,2.09
XLOC_000761,TCONS_00001042,Pf3D7_03_v3,504601,505926,-,1325,1,"1325,","0,",0.21,,2.87,7.87,T44,2.94,,0.19,-0.68,PF3D7_0311700,plasmepsin VI,2.14,0.31,1.05,0.16,1.43,3.51,4.94,6.04,7.87,2.86,1.24,0.91,1.75,15.93,17.84
XLOC_000790,TCONS_00001104,Pf3D7_03_v3,743856,746699,-,2843,1,"2843,","0,",0.19,,10.03,27.75,T20,3.85,,0.17,0.16,PF3D7_0318100,stomatin-like protein,2.57,22.59,27.75,14.20,12.80,8.48,3.61,3.08,2.34,0.99,11.95,17.01,9.93,8.80,7.39
XLOC_000823,TCONS_00001143,Pf3D7_03_v3,1027882,1029246,-,1364,1,"1364,","0,",0.31,,1.73,5.68,T14,2.74,,0.24,-0.10,PF3D7_0324800,rifin (RIF),1.88,5.68,2.80,1.51,0.42,0.35,0.36,0.00,0.11,0.22,5.67,5.55,3.64,0.83,1.05
XLOC_000827,TCONS_00001147,Pf3D7_04_v3,41800,43163,+,1363,1,"1363,","0,",0.30,,2.86,7.59,T14,2.93,YES,0.21,0.17,PF3D7_0400300,rifin (RIF),1.57,7.59,6.49,4.85,1.12,0.64,0.41,0.27,0.13,0.79,7.58,9.40,4.42,1.92,0.58
XLOC_000843,TCONS_00001163,Pf3D7_04_v3,175311,176663,+,1352,1,"1352,","0,",0.23,,4.52,26.33,TT8,4.77,,0.26,-0.61,PF3D7_0403100,"regulator of chromosome condensation, putative",9.25,3.22,1.07,1.30,0.75,1.30,0.59,1.46,4.47,0.00,26.33,4.00,3.24,4.19,5.02
XLOC_000848,TCONS_00001168,Pf3D7_04_v3,223531,224147,+,616,1,"616,","0,",0.21,,5.05,11.31,T32,2.98,,0.16,-0.19,PF3D7_0404000,"conserved Plasmodium protein, unknown function",5.42,0.56,3.42,3.52,6.67,11.31,5.52,6.17,5.28,2.15,5.51,5.60,11.09,27.61,10.05
XLOC_000849,TCONS_00001169,Pf3D7_04_v3,237927,240052,+,2125,1,"2125,","0,",0.22,,10.72,23.82,T14,2.83,YES,0.15,-0.45,PF3D7_0404400,6-cysteine protein (P36),5.68,23.82,23.59,15.04,7.40,8.29,7.46,7.14,5.47,2.50,11.46,24.29,16.57,30.65,26.83
XLOC_000853,TCONS_00001173,Pf3D7_04_v3,264054,265636,+,1582,1,"1582,","0,",0.22,,4.14,15.57,T44,4.05,,0.23,0.88,PF3D7_0404800,"conserved Plasmodium protein, unknown function",6.17,1.30,0.22,0.00,0.08,0.08,1.02,5.06,15.57,7.03,8.96,1.35,0.00,0.00,21.51
XLOC_000878,TCONS_00001215,Pf3D7_04_v3,469508,469941,+,433,1,"433,","0,",0.17,,10.65,45.69,T14,4.53,YES,0.20,NA,PF3D7_0410200,tRNA Isoleucine,9.20,45.69,28.41,8.27,1.01,1.51,1.45,2.04,2.65,6.09,10.80,14.23,3.66,4.23,3.00
XLOC_000884,TCONS_00001224,Pf3D7_04_v3,504293,505290,+,997,1,"997,","0,",0.19,,7.82,17.85,T20,3.48,,0.17,-0.90,PF3D7_0411100,"conserved Plasmodium protein, unknown function",9.55,16.96,17.85,8.36,2.26,0.79,0.68,2.62,4.67,4.44,17.83,20.60,4.84,0.45,6.98
XLOC_000896,TCONS_00001237,Pf3D7_04_v3,619199,620937,+,1295,2,"126,1169,","0,569,",0.24,,9.51,18.26,T20,3.21,,0.15,-0.30,PF3D7_0413700,"lysine decarboxylase-like protein, putative",7.09,11.90,18.26,11.32,7.75,8.40,8.31,11.97,10.88,1.08,7.65,18.38,15.89,24.11,48.39
XLOC_000899,TCONS_00001240,Pf3D7_04_v3,655256,656323,+,1067,1,"1067,","0,",0.22,,2.45,8.15,T14,2.84,,0.22,0.13,PF3D7_0414500,"RNA binding protein, putative",1.46,8.15,4.12,2.95,1.03,1.32,0.59,0.28,0.89,0.40,5.71,4.51,3.68,3.30,1.65
XLOC_000907,TCONS_00001254,Pf3D7_04_v3,710723,711986,+,1263,1,"1263,","0,",0.22,,5.81,25.36,TT8,3.76,,0.21,-0.25,PF3D7_0416300,"DNA helicase MCM9, putative (MCM9)",10.80,2.47,5.23,2.52,2.20,1.54,0.94,1.78,7.69,3.40,25.36,6.69,1.96,2.12,11.40
XLOC_000964,TCONS_00001338,Pf3D7_04_v3,1129131,1130204,+,1073,1,"1073,","0,",0.20,,2.88,9.96,T14,3.45,,0.24,0.44,PF3D7_0425000,"Plasmodium exported protein, unknown function, pseudogene",3.68,9.96,5.39,4.79,0.30,0.21,0.20,0.00,0.36,0.40,6.39,4.55,0.63,0.00,0.00
XLOC_000971,TCONS_00001345,Pf3D7_04_v3,1172931,1174361,+,1430,1,"1430,","0,",0.30,,3.40,10.03,T14,2.38,,0.19,0.79,PF3D7_0426000,"erythrocyte membrane protein 1, PfEMP1 (VAR)",1.11,10.03,6.10,3.67,2.75,1.13,1.57,2.26,2.16,1.89,4.75,0.61,0.74,0.56,1.22
