circRNA_ID,Chromosome,Start,Stop,Supporting reads,Strand,Unique Supporting reads,Best quality of anchor A,Best quality of anchor B,Samples,Sample counts,Edits,Anchor overlap,Breakpoints,Length (genomic distance),Associated annotation             (if applicable),Correlation with linear counterpart,Annotation description
bowtie_circ_000052,Pf3D7_06_v3,1033279,1033401,45,-,41,40,40,"ER,T12+16,T20,T24,T28,T32,T36,T40,T44,T48,TT4","13,5,3,5,3,1,2,1,2,5,5",0,0,1,122,PF3D7_0625400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004694,Pf3D7_14_v3,3036471,3037909,41,-,35,40,40,"MTLT,T20,T28,T32,T36,T4+8,T40,T44,T48,TT4","4,2,1,14,6,1,2,4,3,4",0,0,1,1438,PF3D7_1474200,0.67,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_005535,Pf3D7_06_v3,895390,895570,35,-,34,40,40,"LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T40,T44,T48,TT4","2,2,1,2,5,5,3,1,6,2,1,3,2",0,0,1,180,PF3D7_0621900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000581,Pf3D7_05_v3,1071423,1071531,34,+,31,40,40,"ER,S3,T28,T4+8,T40,T44,T48,TT4","1,2,1,4,1,10,12,3",1,0,1,108,PF3D7_0525800,,membrane skeletal protein IMC1-related
bowtie_circ_001783,Pf3D7_02_v3,104059,104221,33,-,31,40,40,"T12+16,T20,T24,T28,T44","6,11,9,6,1",1,0,1,162,PF3D7_0202000,,knob-associated histidine-rich protein (KAHRP)
bowtie_circ_000483,Pf3D7_14_v3,2711332,2711437,33,+,30,40,40,"LRET,S3,T12+16,T20,T24,T28,T32,T36,T4+8,T40,T44,T48","4,2,1,1,4,2,2,3,1,6,5,2",0,0,1,105,PF3D7_1466300,,"26S proteasome regulatory subunit, putative"
bowtie_circ_001886,Pf3D7_06_v3,748384,748495,36,-,30,40,40,"ER,MTLT,S3,T24,T32,T36,T40,T44,T48","1,1,3,2,4,7,8,6,4",0,0,1,111,PF3D7_0617800,,histone H2A (H2A)
bowtie_circ_004074,Pf3D7_02_v3,306192,306309,35,-,29,40,40,"S3,T36,T40,T44,T48","6,4,14,7,4",0,0,1,117,PF3D7_0207600,,serine repeat antigen 5 (SERA5)
bowtie_circ_004652,Pf3D7_06_v3,795729,795936,27,-,26,40,40,"ER,LRET,MTLT,T12+16,T20,T24,T28,T32,T36,T40","1,2,2,4,5,2,4,3,1,3",0,0,1,207,PF3D7_0619000,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004868,Pf3D7_12_v3,162386,162496,30,-,26,40,40,"ER,MTLT,T12+16,T20,T24,T28,T32,T36,T4+8,T40,T44,T48,TT4","2,4,1,5,2,4,1,4,1,1,2,1,2",1,0,1,110,PF3D7_1202900,,high mobility group protein B1 (HMGB1)
bowtie_circ_001646,Pf3D7_13_v3,2187585,2187690,27,+,23,40,40,"LRET,MTLT,S3,T28,T32,T36,T40,T44,T48","2,3,1,1,2,7,6,3,2",2,0,1,105,PF3D7_1355100,,DNA replication licensing factor MCM6 (MCM6)
bowtie_circ_002728,Pf3D7_10_v3,1326738,1326897,26,-,23,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T32,T36,T40,TT4","1,1,3,1,1,4,1,3,5,2,3,1",1,0,1,159,PF3D7_1033100,,S-adenosylmethionine decarboxylase/ornithine decarboxylase (AdoMetDC/ODC)
bowtie_circ_003919,Pf3D7_14_v3,2455290,2455394,25,+,23,40,40,"ER,MTLT,T12+16,T20,T24,T28,T32,T36,T40,T44,T48","1,2,3,2,3,3,3,4,1,1,2",0,0,1,104,PF3D7_1460100,,"zinc finger protein, putative"
bowtie_circ_004517,Pf3D7_07_v3,717525,717677,36,+,22,40,40,"LRET,MTLT,S3,T28,T32,T36,T40,T44,T48","3,4,2,3,6,7,2,8,1",2,0,1,152,PF3D7_0716300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004927,Pf3D7_10_v3,1425378,1425486,25,+,22,5,40,"ER,S3,T36,T4+8,T40,T44,T48,TT4","2,5,1,3,4,3,6,1",0,0,1,108,PF3D7_1035900,,"probable protein, unknown function (M566)"
bowtie_circ_000596,Pf3D7_01_v3,342994,343120,21,+,20,40,40,"ER,LRET,T12+16,T24,T28,T36,T40,T44,T48","2,1,1,3,6,1,4,2,1",0,0,1,126,PF3D7_0108300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001032,Pf3D7_05_v3,64833,64959,20,-,20,40,40,"ER,LRET,MTLT,T24,T28,T32,T36,T40","1,9,1,3,1,2,2,1",0,0,1,126,PF3D7_0501200,,parasite-infected erythrocyte surface protein (PIESP2)
bowtie_circ_005642,Pf3D7_14_v3,1548535,1549065,23,+,20,40,40,"S3,T12+16,T32,T4+8,T40,T44,T48,TT4","4,1,2,5,1,6,1,3",0,0,1,530,PF3D7_1438400,0.44,metacaspase-like protein (MCA2)
bowtie_circ_000860,Pf3D7_10_v3,1421568,1421679,21,+,19,40,6,"ER,LRET,MTLT,T20,T24,T28,T36","4,4,1,4,6,1,1",0,0,1,111,PF3D7_1035800,,"probable protein, unknown function (M712)"
bowtie_circ_003173,Pf3D7_10_v3,1098805,1100490,21,-,19,40,40,"ER,T12+16,T20,T24,T28,T36,T48,TT4","7,3,3,3,2,1,1,1",0,0,1,1685,PF3D7_1026000,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004066,Pf3D7_10_v3,1425330,1425486,21,+,19,40,35,"ER,S3,T12+16,T4+8,T40,T44,T48,TT4","1,2,1,1,4,9,2,1",0,0,1,156,PF3D7_1035900,,"probable protein, unknown function (M566)"
bowtie_circ_000673,Pf3D7_02_v3,207222,207364,18,-,18,40,40,"ER,LRET,MTLT,S3,T20,T24,T36,T40,T44,T48","2,2,3,2,2,2,1,1,2,1",1,0,1,142,PF3D7_0204700,,hexose transporter (HT)
bowtie_circ_001146,Pf3D7_10_v3,341449,341557,21,+,18,40,40,"ER,LRET,T20,T24,T28,T36,T40,T44,T48","2,2,3,1,1,3,1,5,3",0,0,1,108,PF3D7_1008100,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002298,Pf3D7_04_v3,386297,386411,19,+,18,40,40,"S3,T4+8,T40,T44,T48","2,1,4,4,8",1,0,1,114,PF3D7_0407800,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002996,Pf3D7_09_v3,1458815,1460208,21,+,18,40,40,"ER,T12+16,T20,T24,T36,T4+8,T48,TT4","2,5,2,1,1,3,1,6",0,0,1,1393,PF3D7_0936800,0.4,"Plasmodium exported protein (PHISTc), unknown function"
bowtie_circ_005401,Pf3D7_11_v3,235878,235982,18,-,18,40,40,"ER,LRET,MTLT,T12+16,T20,T24,T28,T32","1,1,3,1,2,2,5,3",0,0,1,104,PF3D7_1105400,,"40S ribosomal protein S4, putative"
bowtie_circ_000299,Pf3D7_14_v3,2825818,2825923,19,+,17,40,40,"ER,LRET,T20,T24,T28,T36,T40,T44,T48","3,1,2,2,2,5,1,1,2",0,0,1,105,PF3D7_1468700,,eukaryotic initiation factor 4A (eIF4A)
bowtie_circ_000135,Pf3D7_12_v3,148983,149369,20,-,16,40,40,"MTLT,T12+16,T20,T32,T4+8,T44,T48,TT4","1,3,1,1,1,2,5,6",0,0,1,386,PF3D7_0505900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000446,Pf3D7_02_v3,306204,306309,21,-,16,40,40,"S3,T40,T44","5,14,2",0,0,1,105,PF3D7_0207600,,serine repeat antigen 5 (SERA5)
bowtie_circ_001738,Pf3D7_04_v3,666592,667254,19,+,16,40,40,"ER,S3,T4+8,T40,T44,T48,TT4","4,1,5,1,2,2,4",0,0,1,662,PF3D7_0414900,0.79,armadillo-domain containing rhoptry protein (ARO)
bowtie_circ_003893,Pf3D7_14_v3,1016314,1016599,16,-,16,40,40,"ER,LRET,MTLT,T12+16,T20,T24,T28,T32,T44","1,3,3,1,1,2,1,3,1",1,0,1,285,PF3D7_1426000,,"60S ribosomal protein L21e, putative"
bowtie_circ_005225,Pf3D7_14_v3,799419,799576,18,-,16,40,40,"LRET,T24,T28,T32,T36,T40","3,1,5,4,4,1",0,0,1,157,PF3D7_1419200,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002755,Pf3D7_10_v3,165230,165338,18,-,15,40,40,"S3,T44,T48","2,7,9",0,0,1,108,PF3D7_1003600,,membrane skeletal protein IMC1-related (ALV5)
bowtie_circ_004200,Pf3D7_14_v3,323887,324002,15,+,15,40,40,"ER,T12+16,T20,T24,T28,T32,T36,T44","2,2,2,2,1,4,1,1",1,0,1,115,PF3D7_1408600,,"40S ribosomal protein S8e, putative"
bowtie_circ_000197,Pf3D7_11_v3,226728,226961,15,+,14,40,40,"T28,T32,T4+8,T40,T44,T48","1,2,4,4,2,2",1,0,1,233,PF3D7_1427900,,"conserved protein, unknown function"
bowtie_circ_001281,Pf3D7_14_v3,1247670,1247938,14,+,14,40,40,"LRET,MTLT,T20,T24,T32,T36","1,1,4,1,4,3",0,0,1,268,PF3D7_1431700,,"60S ribosomal protein L14, putative"
bowtie_circ_005164,Pf3D7_14_v3,782077,782203,14,-,14,40,40,"ER,LRET,S3,T20,T24,T32,T40,T44,T48","3,1,2,1,1,1,2,1,2",2,0,1,126,PF3D7_1418800,,signal recognition particle RNA
bowtie_circ_005443,Pf3D7_05_v3,713249,713364,16,-,14,40,40,"ER,LRET,MTLT,S3,T20,T24,T32,T36,T40","2,2,1,1,2,1,1,5,1",0,0,1,115,PF3D7_0516900,,"60S ribosomal protein L8, putative"
bowtie_circ_000580,Pf3D7_09_v3,270825,271121,13,+,13,40,40,"ER,S3,T4+8,T40,T44,T48","1,3,1,1,4,3",1,0,1,296,PF3D7_0905400,,high molecular weight rhoptry protein 3 (RhopH3)
bowtie_circ_000895,Pf3D7_11_v3,815567,816356,23,-,13,40,40,"T12+16,T32,T36,T4+8,T48,TT4","2,2,1,12,1,5",0,0,1,789,PF3D7_1121600,,"circumsporozoite-related antigen,exported protein 1 (EXP1)"
bowtie_circ_001131,Pf3D7_13_v3,2052422,2052601,13,+,13,40,40,"ER,LRET,T12+16,T20,T28,T32,T36,T40","2,1,1,4,2,1,1,1",0,0,1,179,PF3D7_1351400,,"60S ribosomal protein L17, putative"
bowtie_circ_001283,Pf3D7_09_v3,1459118,1459313,15,+,13,40,40,"ER,T12+16,T20,T24,T28","2,2,6,4,1",2,0,1,195,PF3D7_0936800,,"Plasmodium exported protein (PHISTc), unknown function"
bowtie_circ_005635,Pf3D7_13_v3,911758,911902,13,-,13,40,40,"ER,MTLT,T36,T40,T44,T48,TT4","1,1,1,2,3,4,1",0,0,1,144,PF3D7_1321900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000501,Pf3D7_08_v3,687808,687934,13,+,12,40,40,"ER,MTLT,T12+16,T28,T32,T36,T44,T48","1,2,2,2,1,1,1,3",0,0,1,126,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_001035,Pf3D7_14_v3,2091862,2091985,14,+,12,40,40,"ER,LRET,MTLT,S3,T12+16,T20,T24,T28,T36","1,1,2,1,1,1,2,4,1",0,0,1,123,PF3D7_1451100,,elongation factor 2
bowtie_circ_001786,Pf3D7_05_v3,1057813,1057951,16,+,12,40,40,"T32,T36,T4+8,T40,T44,T48,TT4","1,4,5,2,2,1,1",0,0,1,138,PF3D7_0525400,,"G-protein coupled receptor, putative"
bowtie_circ_001951,Pf3D7_11_v3,950736,950896,14,+,12,40,6,"S3,T20,T24,T32,T36,T40,T44","1,3,2,2,2,3,1",0,0,1,160,NA,,NA
bowtie_circ_003274,Pf3D7_06_v3,524430,525770,14,-,12,40,40,"S3,T12+16,T36,T4+8,T40,T44,T48,TT4","2,1,1,2,1,5,1,1",0,0,1,1340,PF3D7_0612600,,"PP-loop family protein, putative"
bowtie_circ_004881,Pf3D7_07_v3,137323,137443,15,+,12,40,40,"ER,LRET,T12+16,T20,T24,T28,T4+8,T44","1,1,1,2,3,1,4,2",2,0,1,120,PF3D7_0703500,,erythrocyte membrane-associated antigen
bowtie_circ_004931,Pf3D7_05_v3,317982,318099,12,-,12,40,40,"MTLT,S3,T20,T24,T32,T36,T40,T44","1,1,1,1,3,3,1,1",1,0,1,117,PF3D7_0507700,,"nuclear protein localization protein 4, putative (NPL4)"
bowtie_circ_005092,Pf3D7_04_v3,1059219,1059324,12,+,12,40,40,"S3,T40,T44,T48","3,4,3,2",0,0,1,105,PF3D7_0423500,,glideosome associated protein with multiple membrane spans 2 (GAPM2)
bowtie_circ_001562,Pf3D7_09_v3,1203756,1203881,11,+,11,40,40,"T36,T4+8,T40,T44,T48","2,1,4,3,1",2,0,1,125,PF3D7_0930300,,merozoite surface protein 1 (MSP1)
bowtie_circ_001747,Pf3D7_09_v3,1204125,1204314,14,-,11,40,40,"T36,T40,T44,T48","1,1,10,2",0,0,1,189,PF3D7_0930300,,merozoite surface protein 1 (MSP1)
bowtie_circ_003142,Pf3D7_07_v3,277949,278054,13,-,11,40,40,"S3,T12+16,T24,T32,T36,T40,T44,T48","2,1,1,2,3,2,1,1",0,0,1,105,PF3D7_0705500,,"inositol-phosphate phosphatase, putative"
bowtie_circ_004210,Pf3D7_08_v3,811462,812303,11,-,11,40,40,"ER,S3,T12+16,T4+8,T44,TT4","1,2,1,1,2,4",0,0,1,841,PF3D7_0817700,0.38,rhoptry neck protein 5 (RON5)
bowtie_circ_004715,Pf3D7_02_v3,766505,766638,13,-,11,40,40,"ER,T20,T24,T28,T32,T40,T48,TT4","3,1,1,2,1,1,3,1",0,0,1,133,PF3D7_0218800,,ribonuclease P
bowtie_circ_005517,Pf3D7_08_v3,687961,688066,13,+,11,40,40,"ER,LRET,T24,T28,T40,TT4","2,3,1,1,3,3",0,0,1,105,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_000217,Pf3D7_03_v3,706209,706371,11,-,10,40,40,"T24,T32,T36,T44,T48","2,1,1,2,5",0,0,1,162,PF3D7_0317300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000262,Pf3D7_09_v3,322819,322928,10,-,10,40,40,"ER,LRET,T12+16,T20,T48,TT4","2,1,2,3,1,1",0,0,1,109,PF3D7_0906600,,"zinc finger protein, putative"
bowtie_circ_000382,Pf3D7_08_v3,433685,433822,10,+,10,40,40,"ER,LRET","8,2",0,0,1,137,PF3D7_0808600,,"erythrocyte membrane protein 1, PfEMP1 (VAR)"
bowtie_circ_000877,Pf3D7_04_v3,93202,93355,11,-,10,6,40,"ER,MTLT,T20,T24,T32,T48","2,2,2,3,1,1",0,0,1,153,PF3D7_0401600,,rifin (RIF)
bowtie_circ_001151,Pf3D7_14_v3,1247677,1247778,12,+,10,40,40,"ER,LRET,MTLT,T12+16,T20,T32,T36,T40","1,3,1,1,1,2,2,1",2,0,1,101,PF3D7_1431700,,"60S ribosomal protein L14, putative"
bowtie_circ_001428,Pf3D7_09_v3,157500,157618,10,-,10,40,40,"T12+16,T24,T28,T32,T36,T40,TT4","3,2,1,1,1,1,1",0,0,1,118,PF3D7_0903400,,"DEAD/DEAH box helicase, putative"
bowtie_circ_001584,Pf3D7_11_v3,1430964,1437008,10,-,10,40,5,"S3,T32,T40,T44,TT4","1,1,1,1,6",0,0,1,6044,PF3D7_1136500,,casein kinase 1 (CK1)
bowtie_circ_001625,Pf3D7_11_v3,353243,353363,10,+,10,40,40,"ER,T12+16,T24,T28,T32,T40","1,1,2,3,1,2",0,0,1,120,PF3D7_1108000,,"IWS1-like protein, putative"
bowtie_circ_001885,Pf3D7_10_v3,1141172,1141286,10,-,10,40,5,"T36,T40,T44,T48","1,3,5,1",0,0,1,114,PF3D7_1027300,,peroxiredoxin (nPrx)
bowtie_circ_002373,Pf3D7_10_v3,107668,107776,13,-,10,40,40,"ER,T12+16,T20,T4+8,T48,TT4","2,2,1,2,1,5",0,0,1,108,PF3D7_1002100,,PF70 protein (PF70)
bowtie_circ_002411,Pf3D7_13_v3,2062151,2062268,10,+,10,40,40,"S3,T40,T44,T48,TT4","1,1,1,5,2",0,0,1,117,PF3D7_1351700,,"alveolin, putative (ALV6)"
bowtie_circ_002434,Pf3D7_11_v3,1495268,1495406,13,+,10,40,40,"T36,T40,T44,T48","4,1,3,5",0,0,1,138,PF3D7_1138000,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002490,Pf3D7_07_v3,1330733,1330964,10,+,10,40,40,"LRET,T24,T28,TT4","4,4,1,1",1,0,1,231,PF3D7_0730900,,"Plasmodium exported protein, unknown function"
bowtie_circ_002614,Pf3D7_10_v3,81226,81543,11,-,10,40,40,"ER,T12+16,T20,T24,TT4","1,2,5,1,2",0,0,1,317,PF3D7_1001500,,early transcribed membrane protein 10.1 (ETRAMP10)
bowtie_circ_002810,Pf3D7_05_v3,64815,64959,10,-,10,40,40,"ER,LRET,T28,T36","1,5,2,2",0,0,1,144,PF3D7_0501200,,parasite-infected erythrocyte surface protein (PIESP2)
bowtie_circ_004997,Pf3D7_10_v3,1457144,1457246,11,-,10,40,40,"T12+16,T24,T28,T32,T36,T40,T44,T48","2,1,1,2,1,2,1,1",0,0,1,102,PF3D7_1036900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_005006,Pf3D7_13_v3,632574,633169,10,+,10,40,40,"LRET,T12+16,T20,T24,T32,T40,TT4","1,2,2,1,2,1,1",0,0,1,595,PF3D7_1314900,,TFIIH basal transcription factor subunit
bowtie_circ_005026,Pf3D7_11_v3,1433155,1437008,10,-,10,40,40,"LRET,MTLT,S3,T32,T36,T4+8,T40,TT4","1,1,3,1,1,1,1,1",0,0,1,3853,PF3D7_1136500,,casein kinase 1 (CK1)
bowtie_circ_005126,Pf3D7_04_v3,762504,762606,11,+,10,40,40,"T20,T24,T28,T32,T36,T40,T44,TT4","1,1,1,1,2,2,2,1",2,0,1,102,PF3D7_0417400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_005289,Pf3D7_09_v3,374890,375007,12,-,10,40,5,"T36,T4+8,T40,T44,T48","4,2,2,3,1",0,0,1,117,PF3D7_0908100,,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_005398,Pf3D7_11_v3,1400498,1400631,10,-,10,40,40,"ER,S3,T12+16,T32,T36,T44,T48","1,1,3,2,1,1,1",1,0,1,133,PF3D7_1135900,,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative"
bowtie_circ_005700,Pf3D7_14_v3,1995270,1995378,11,-,10,40,40,"LRET,T28,T32,T36,T40,T44,T48,TT4","1,1,1,4,1,1,1,1",0,0,1,108,PF3D7_1448500,,"conserved Plasmodium protein, unknown function"
bowtie_circ_005751,Pf3D7_10_v3,1231525,1231627,12,-,10,40,40,"ER,S3,T20,T4+8,T40,T44,T48","1,1,1,1,1,3,4",0,0,1,102,PF3D7_1030200,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000199,Pf3D7_04_v3,104555,104669,10,+,9,0,40,"ER,LRET,MTLT,T24,T28,T32","2,3,1,2,1,1",2,0,1,114,PF3D7_0401800,,"Plasmodium exported protein (PHISTb), unknown function (PfD80)"
bowtie_circ_000294,Pf3D7_05_v3,64851,64959,10,-,9,40,5,"ER,LRET,T24,T28,T32,T36","1,1,2,2,3,1",0,0,1,108,PF3D7_0501200,,parasite-infected erythrocyte surface protein (PIESP2)
bowtie_circ_000333,Pf3D7_08_v3,657346,657454,9,+,9,40,40,"ER,LRET,T24,T28,T32","1,1,1,3,3",0,0,1,108,PF3D7_0813300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001388,Pf3D7_11_v3,543076,543599,12,-,9,40,40,"ER,LRET,T12+16,T20,T24,TT4","1,1,1,3,2,4",0,0,1,523,PF3D7_1114200,,"GTPase activator, putative"
bowtie_circ_001523,Pf3D7_06_v3,1172135,1173037,9,-,9,40,40,"ER,T44,T48,TT4","2,1,1,5",0,0,1,902,PF3D7_0628300,,"choline/ethanolaminephosphotransferase, putative (CEPT)"
bowtie_circ_002697,Pf3D7_01_v3,414916,415025,9,-,9,40,40,"T28,T32,T36,T40","1,2,4,2",0,0,1,109,PF3D7_0110700,,"chromatin assembly factor 1 protein WD40 domain, putative"
bowtie_circ_002949,Pf3D7_14_v3,1844801,1844930,9,-,9,40,40,"ER,S3,T24,T32,T40,T48","1,1,2,1,1,3",0,0,1,129,PF3D7_1444800,,fructose-bisphosphate aldolase (FBPA)
bowtie_circ_003518,Pf3D7_06_v3,748516,748651,9,-,9,40,40,"MTLT,T28,T32,T36,T40,T44","1,1,2,2,1,2",0,0,1,135,PF3D7_0617800,,histone H2A (H2A)
bowtie_circ_003557,Pf3D7_09_v3,1427434,1427592,13,+,9,40,40,"ER,T12+16,T20,T24,TT4","5,3,1,1,3",0,0,1,158,NA,,NA
bowtie_circ_004023,Pf3D7_04_v3,104555,104729,9,+,9,0,40,"ER,LRET,S3,T20,T24,T28","1,1,1,2,3,1",2,0,1,174,PF3D7_0401800,,"Plasmodium exported protein (PHISTb), unknown function (PfD80)"
bowtie_circ_004080,Pf3D7_06_v3,1123636,1123741,19,-,9,40,40,"T40,T44,T48","3,7,9",0,0,1,105,PF3D7_0628100,,"HECT-domain (ubiquitin-transferase), putative"
bowtie_circ_004249,Pf3D7_09_v3,1176736,1176913,9,+,9,40,40,"S3,T44,T48","2,3,4",0,0,1,177,PF3D7_0929400,,high molecular weight rhoptry protein 2 (RhopH2)
bowtie_circ_004479,Pf3D7_08_v3,687808,687961,11,+,9,40,40,"LRET,T32,T36,TT4","1,4,2,4",0,0,1,153,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_005116,Pf3D7_05_v3,715867,715979,9,-,9,40,40,"LRET,MTLT,T20,T24,T32,T36,T40","1,1,1,2,1,2,1",1,0,1,112,PF3D7_0517000,,"60S ribosomal protein L12, putative"
bowtie_circ_005343,Pf3D7_08_v3,1207128,1207236,10,-,9,40,40,"ER,MTLT,S3,T20,T24,T40,T44","1,2,1,1,1,3,1",1,0,1,108,PF3D7_0827900,,protein disulfide isomerase (PDI8)
bowtie_circ_005757,Pf3D7_08_v3,845195,847517,11,-,9,40,40,"T12+16,T44,T48,TT4","1,1,1,8",0,0,1,2322,PF3D7_0818600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000060,Pf3D7_13_v3,878362,878519,8,-,8,40,5,"T12+16,T20,T32,T44,TT4","2,1,2,2,1",2,0,1,157,PF3D7_1321300,,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_000137,Pf3D7_11_v3,1961815,1961941,8,+,8,40,40,"ER,LRET,T24,T28,T32","1,1,1,4,1",0,0,1,126,PF3D7_1202600,,"conserved protein, unknown function"
bowtie_circ_000263,Pf3D7_06_v3,1171201,1171973,9,-,8,40,40,"ER,T12+16,T4+8,T44,TT4","1,1,2,1,4",0,0,1,772,PF3D7_0628300,,"choline/ethanolaminephosphotransferase, putative (CEPT)"
bowtie_circ_000304,Pf3D7_07_v3,339644,339767,8,+,8,40,40,"S3,T36,T40,T44,T48","1,1,1,2,3",0,0,1,123,PF3D7_0707300,,rhoptry-associated membrane antigen (RAMA)
bowtie_circ_001270,Pf3D7_13_v3,151216,151342,8,-,8,40,40,"LRET,MTLT,T12+16,T20,T24,T28,T36","1,1,1,1,1,1,2",1,0,1,126,PF3D7_1302800,,"40S ribosomal protein S7, putative"
bowtie_circ_002045,Pf3D7_07_v3,274413,274527,8,-,8,40,5,"S3,T12+16,T20,T24,T36,T44","1,1,2,1,1,2",1,0,1,114,PF3D7_0705500,,"inositol-phosphate phosphatase, putative"
bowtie_circ_002110,Pf3D7_08_v3,687919,688054,8,+,8,40,40,"S3,T24,T28,T36,T44","1,3,1,1,2",0,0,1,135,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_002440,Pf3D7_02_v3,800822,800930,8,+,8,0,40,"S3,T12+16,T28,T36,T44","1,1,1,2,3",0,0,1,108,PF3D7_0220000,,liver stage antigen 3 (LSA3)
bowtie_circ_002516,Pf3D7_06_v3,768777,768956,8,+,8,40,40,"MTLT,T20,T28,T32,T36,T40,T48","1,1,2,1,1,1,1",0,0,1,179,PF3D7_0618300,,"60S ribosomal protein L27a, putative"
bowtie_circ_002613,Pf3D7_11_v3,139852,139989,9,-,8,40,40,"T20,T24,T32,T36","1,3,2,3",0,0,1,137,NA,,NA
bowtie_circ_003229,Pf3D7_11_v3,773065,773223,8,+,8,40,40,"S3,T32,T36,T40,TT4","1,4,1,1,1",0,0,1,158,PF3D7_1120500,,"tRNA nucleotidyltransferase, putative"
