Transcript_ID,Chrm,Start,End,GC_percent,,lengths,Strand,OtherInfo,N_Sum,C_Sum,log2FC(sum_N/sum_C),estimated_Location,Cluster,Stage
TCONS_00000042,Pf3D7_01_v3,491225,494291,0.163025758,Pf3D7_01_v3:491225-494291,3067,+, oId CUFF.92.1; transcript_id TCONS_00000042; tss_id TSS38;gene_id XLOC_000037; ExonInfo:491225:494291; total_nExon:1,1586,460,1.79,N,4,T
TCONS_00000049,Pf3D7_01_v3,523496,524624,0.131975199,Pf3D7_01_v3:523496-524624,1129,+, oId CUFF.100.1; transcript_id TCONS_00000049; tss_id TSS45;gene_id XLOC_000041; ExonInfo:523496:524624; total_nExon:1,261,184,0.5,N,1,R
TCONS_00000053,Pf3D7_01_v3,540926,541484,0.168157424,Pf3D7_01_v3:540926-541484,559,+, oId CUFF.105.1; transcript_id TCONS_00000053; tss_id TSS49;gene_id XLOC_000044; ExonInfo:540926:541484; total_nExon:1,872,518,0.75,N,1,R
TCONS_00000055,Pf3D7_01_v3,549726,550925,0.1691667,Pf3D7_01_v3:549726-550925,1200,+, oId CUFF.108.1; transcript_id TCONS_00000055; tss_id TSS51;gene_id XLOC_000046; ExonInfo:549726:550925; total_nExon:1,195,115,0.76,N,9,LG
TCONS_00000056,Pf3D7_01_v3,551239,551671,0.2193995,Pf3D7_01_v3:551239-551671,433,+, oId CUFF.109.1; transcript_id TCONS_00000056; tss_id TSS52;gene_id XLOC_000047; ExonInfo:551239:551671; total_nExon:1,961,337,1.51,N,9,LG
TCONS_00000058,Pf3D7_01_v3,555857,556806,0.166315789,Pf3D7_01_v3:555857-556806,950,+, oId CUFF.112.1; transcript_id TCONS_00000058; tss_id TSS54;gene_id XLOC_000049; ExonInfo:555857:556806; total_nExon:1,198,28,2.81,N,1,R
TCONS_00000064,Pf3D7_01_v3,575241,575842,0.149501661,Pf3D7_01_v3:575241-575842,602,+, oId CUFF.125.1; transcript_id TCONS_00000064; tss_id TSS60;gene_id XLOC_000055; ExonInfo:575241:575842; total_nExon:1,135,39,1.78,N,6,S
TCONS_00000065,Pf3D7_01_v3,575957,576954,0.1673347,Pf3D7_01_v3:575957-576954,998,+, oId CUFF.126.1; transcript_id TCONS_00000065; tss_id TSS61;gene_id XLOC_000056; ExonInfo:575957:576954; total_nExon:1,377,211,0.84,N,9,LG
TCONS_00000070,Pf3D7_01_v3,285,6479,0.312510089,Pf3D7_01_v3:285-6479,6195,-, oId CUFF.1.1; transcript_id TCONS_00000070; tss_id TSS66;gene_id XLOC_000060; ExonInfo:285:802|962:6479; total_nExon:2,4820,2507,0.94,N,1,R
TCONS_00000071,Pf3D7_01_v3,27496,29007,0.2208995,Pf3D7_01_v3:27496-29007,1512,-, oId CUFF.3.1; transcript_id TCONS_00000071; tss_id TSS67;gene_id XLOC_000061; ExonInfo:27496:29007; total_nExon:1,141,69,1.03,N,8,S/G
TCONS_00000079,Pf3D7_01_v3,94885,95965,0.271970398,Pf3D7_01_v3:94885-95965,1081,-, oId CUFF.18.1; transcript_id TCONS_00000079; tss_id TSS75;gene_id XLOC_000069; ExonInfo:94885:95965; total_nExon:1,210,162,0.38,Both,2,R
TCONS_00000081,Pf3D7_01_v3,109136,109722,0.209540034,Pf3D7_01_v3:109136-109722,587,-, oId CUFF.21.1; transcript_id TCONS_00000081; tss_id TSS77;gene_id XLOC_000071; ExonInfo:109136:109722; total_nExon:1,26447,15023,0.82,N,6,S
TCONS_00000087,Pf3D7_01_v3,121783,123250,0.1185286,Pf3D7_01_v3:121783-123250,1468,-, oId CUFF.25.2; transcript_id TCONS_00000087; tss_id TSS81;gene_id XLOC_000074; ExonInfo:121783:122480|122776:122868|123015:123250; total_nExon:3| oId CUFF.25.1; transcript_id TCONS_00000086; tss_id TSS81;gene_id XLOC_000074; ExonInfo:121783:122480|122812:123250; total_nExon:2| oId CUFF.25.3; transcript_id TCONS_00000088; tss_id TSS81;gene_id XLOC_000074; ExonInfo:122491:122868|123015:123250; total_nExon:2,493,662,-0.43,Both,10,LG
TCONS_00000096,Pf3D7_01_v3,184902,188896,0.1181477,Pf3D7_01_v3:184902-188896,3995,-, oId CUFF.34.1; transcript_id TCONS_00000096; tss_id TSS88;gene_id XLOC_000080; ExonInfo:184902:188896; total_nExon:1,5457,6194,-0.18,Both,7,S
TCONS_00000097,Pf3D7_01_v3,213562,215105,0.148316062,Pf3D7_01_v3:213562-215105,1544,-, oId CUFF.36.1; transcript_id TCONS_00000097; tss_id TSS89;gene_id XLOC_000081; ExonInfo:213562:215105; total_nExon:1,2087,1317,0.66,N,6,S
TCONS_00000099,Pf3D7_01_v3,219796,220650,0.174269006,Pf3D7_01_v3:219796-220650,855,-, oId CUFF.39.1; transcript_id TCONS_00000099; tss_id TSS91;gene_id XLOC_000083; ExonInfo:219796:220650; total_nExon:1,2504,1594,0.65,N,4,T
TCONS_00000105,Pf3D7_01_v3,234908,236544,0.1557728,Pf3D7_01_v3:234908-236544,1637,-, oId CUFF.44.1; transcript_id TCONS_00000105; tss_id TSS97;gene_id XLOC_000087; ExonInfo:234908:236544; total_nExon:1,362,230,0.66,N,8,S/G
TCONS_00000107,Pf3D7_01_v3,269453,269909,0.10940919,Pf3D7_01_v3:269453-269909,457,-, oId CUFF.48.1; transcript_id TCONS_00000107; tss_id TSS99;gene_id XLOC_000089; ExonInfo:269453:269909; total_nExon:1,695,1222,-0.81,C,5,T
TCONS_00000108,Pf3D7_01_v3,285729,286374,0.122291022,Pf3D7_01_v3:285729-286374,646,-, oId CUFF.51.1; transcript_id TCONS_00000108; tss_id TSS100;gene_id XLOC_000090; ExonInfo:285729:286374; total_nExon:1,307,191,0.68,N,4,T
TCONS_00000110,Pf3D7_01_v3,301829,303979,0.164109716,Pf3D7_01_v3:301829-303979,2151,-, oId CUFF.55.1; transcript_id TCONS_00000110; tss_id TSS102;gene_id XLOC_000092; ExonInfo:301829:302743|302900:303979; total_nExon:2,14529,16252,-0.16,Both,5,T
TCONS_00000111,Pf3D7_01_v3,309975,311827,0.097139773,Pf3D7_01_v3:309975-311827,1853,-, oId CUFF.56.1; transcript_id TCONS_00000111; tss_id TSS103;gene_id XLOC_000093; ExonInfo:309975:311827; total_nExon:1,1570,1926,-0.29,Both,3,R/T
TCONS_00000117,Pf3D7_01_v3,333824,334096,0.153846154,Pf3D7_01_v3:333824-334096,273,-, oId CUFF.60.1; transcript_id TCONS_00000117; tss_id TSS107;gene_id XLOC_000096; ExonInfo:333824:334096; total_nExon:1,8700,4807,0.86,N,6,S
TCONS_00000130,Pf3D7_01_v3,438763,439344,0.1701031,Pf3D7_01_v3:438763-439344,582,-, oId CUFF.78.1; transcript_id TCONS_00000130; tss_id TSS119;gene_id XLOC_000106; ExonInfo:438763:439344; total_nExon:1,5446,6424,-0.24,Both,8,S/G
TCONS_00000131,Pf3D7_01_v3,443997,444720,0.114640884,Pf3D7_01_v3:443997-444720,724,-, oId CUFF.79.1; transcript_id TCONS_00000131; tss_id TSS120;gene_id XLOC_000107; ExonInfo:443997:444720; total_nExon:1,526,737,-0.49,Both,5,T
TCONS_00000135,Pf3D7_01_v3,461901,463313,0.142958245,Pf3D7_01_v3:461901-463313,1413,-, oId CUFF.84.1; transcript_id TCONS_00000135; tss_id TSS124;gene_id XLOC_000110; ExonInfo:461901:463313; total_nExon:1,404,178,1.19,N,4,T
TCONS_00000136,Pf3D7_01_v3,471482,472664,0.1825866,Pf3D7_01_v3:471482-472664,1183,-, oId CUFF.85.1; transcript_id TCONS_00000136; tss_id TSS125;gene_id XLOC_000111; ExonInfo:471482:472664; total_nExon:1,1218,480,1.34,N,9,LG
TCONS_00000140,Pf3D7_01_v3,500230,500653,0.1415094,Pf3D7_01_v3:500230-500653,424,-, oId CUFF.93.1; transcript_id TCONS_00000140; tss_id TSS129;gene_id XLOC_000115; ExonInfo:500230:500653; total_nExon:1,3546,4397,-0.31,Both,10,LG
TCONS_00000141,Pf3D7_01_v3,503721,504309,0.139219,Pf3D7_01_v3:503721-504309,589,-, oId CUFF.95.1; transcript_id TCONS_00000141; tss_id TSS130;gene_id XLOC_000116; ExonInfo:503721:504309; total_nExon:1,208,194,0.1,Both,10,LG
TCONS_00000143,Pf3D7_01_v3,516443,519503,0.173472721,Pf3D7_01_v3:516443-519503,3061,-, oId CUFF.98.1; transcript_id TCONS_00000143; tss_id TSS132;gene_id XLOC_000118; ExonInfo:516443:519503; total_nExon:1,2098,2018,0.06,Both,2,R
TCONS_00000145,Pf3D7_01_v3,540687,541200,0.1478599,Pf3D7_01_v3:540687-541200,514,-, oId CUFF.104.1; transcript_id TCONS_00000145; tss_id TSS134;gene_id XLOC_000120; ExonInfo:540687:541200; total_nExon:1,387,354,0.13,Both,10,LG
TCONS_00000148,Pf3D7_01_v3,556006,556813,0.165841584,Pf3D7_01_v3:556006-556813,808,-, oId CUFF.113.1; transcript_id TCONS_00000148; tss_id TSS137;gene_id XLOC_000123; ExonInfo:556006:556813; total_nExon:1,232,33,2.81,N,1,R
TCONS_00000152,Pf3D7_01_v3,570636,571152,0.12959381,Pf3D7_01_v3:570636-571152,517,-, oId CUFF.121.1; transcript_id TCONS_00000152; tss_id TSS141;gene_id XLOC_000127; ExonInfo:570636:571152; total_nExon:1,141,0,Inf,N,6,S
TCONS_00000154,Pf3D7_01_v3,573501,573982,0.1556017,Pf3D7_01_v3:573501-573982,482,-, oId CUFF.124.1; transcript_id TCONS_00000154; tss_id TSS143;gene_id XLOC_000129; ExonInfo:573501:573982; total_nExon:1,144,33,2.14,N,9,LG
TCONS_00000155,Pf3D7_01_v3,575670,576925,0.1616242,Pf3D7_01_v3:575670-576925,1256,-, oId CUFF.127.1; transcript_id TCONS_00000155; tss_id TSS144;gene_id XLOC_000130; ExonInfo:575670:576712|576861:576925; total_nExon:2,332,178,0.9,N,9,LG
TCONS_00000157,Pf3D7_01_v3,600319,601171,0.2461899,Pf3D7_01_v3:600319-601171,853,-, oId CUFF.131.1; transcript_id TCONS_00000157; tss_id TSS146;gene_id XLOC_000132; ExonInfo:600319:601171; total_nExon:1,272,384,-0.5,Both,10,LG
TCONS_00000160,Pf3D7_02_v3,32768,34211,0.2777008,Pf3D7_02_v3:32768-34211,1444,+, oId CUFF.137.1; transcript_id TCONS_00000160; tss_id TSS149;gene_id XLOC_000135; ExonInfo:32768:34211; total_nExon:1,454,167,1.44,N,9,LG
TCONS_00000164,Pf3D7_02_v3,106283,107251,0.128998968,Pf3D7_02_v3:106283-107251,969,+, oId CUFF.154.1; transcript_id TCONS_00000164; tss_id TSS153;gene_id XLOC_000139; ExonInfo:106283:107251; total_nExon:1,726,392,0.89,N,6,S
TCONS_00000167,Pf3D7_02_v3,114921,116864,0.127057613,Pf3D7_02_v3:114921-116864,1944,+, oId CUFF.161.1; transcript_id TCONS_00000167; tss_id TSS156;gene_id XLOC_000142; ExonInfo:114921:116864; total_nExon:1,1025,588,0.8,N,1,R
TCONS_00000168,Pf3D7_02_v3,118858,119442,0.117948718,Pf3D7_02_v3:118858-119442,585,+, oId CUFF.163.1; transcript_id TCONS_00000168; tss_id TSS157;gene_id XLOC_000143; ExonInfo:118858:119442; total_nExon:1,2412,947,1.35,N,4,T
TCONS_00000170,Pf3D7_02_v3,134505,135097,0.153457,Pf3D7_02_v3:134505-135097,593,+, oId CUFF.166.1; transcript_id TCONS_00000170; tss_id TSS159;gene_id XLOC_000145; ExonInfo:134505:135097; total_nExon:1,562,355,0.66,N,9,LG
TCONS_00000172,Pf3D7_02_v3,190197,191726,0.1261438,Pf3D7_02_v3:190197-191726,1530,+, oId CUFF.172.1; transcript_id TCONS_00000172; tss_id TSS161;gene_id XLOC_000147; ExonInfo:190197:191726; total_nExon:1,2788,3816,-0.45,Both,7,S
TCONS_00000173,Pf3D7_02_v3,192185,192639,0.1296703,Pf3D7_02_v3:192185-192639,455,+, oId CUFF.174.1; transcript_id TCONS_00000173; tss_id TSS162;gene_id XLOC_000148; ExonInfo:192185:192639; total_nExon:1,1715,1477,0.21,Both,7,S
TCONS_00000177,Pf3D7_02_v3,287854,288095,0.1528926,Pf3D7_02_v3:287854-288095,242,+, oId CUFF.189.1; transcript_id TCONS_00000177; tss_id TSS166;gene_id XLOC_000151; ExonInfo:287854:288095; total_nExon:1,1894,2227,-0.23,Both,7,S
TCONS_00000184,Pf3D7_02_v3,402909,403950,0.159309021,Pf3D7_02_v3:402909-403950,1042,+, oId CUFF.206.1; transcript_id TCONS_00000184; tss_id TSS173;gene_id XLOC_000157; ExonInfo:402909:402994|403153:403950; total_nExon:2,2046,2563,-0.33,Both,5,T
TCONS_00000192,Pf3D7_02_v3,449239,449898,0.004545455,Pf3D7_02_v3:449239-449898,660,+, oId CUFF.220.1; transcript_id TCONS_00000192; tss_id TSS179;gene_id XLOC_000162; ExonInfo:449239:449898; total_nExon:1,155,0,Inf,N,6,S
TCONS_00000193,Pf3D7_02_v3,461719,462907,0.1480235,Pf3D7_02_v3:461719-462907,1189,+, oId CUFF.223.1; transcript_id TCONS_00000193; tss_id TSS180;gene_id XLOC_000163; ExonInfo:461719:462907; total_nExon:1,182,191,-0.07,Both,10,LG
TCONS_00000196,Pf3D7_02_v3,555722,556195,0.1392405,Pf3D7_02_v3:555722-556195,474,+, oId CUFF.232.1; transcript_id TCONS_00000196; tss_id TSS183;gene_id XLOC_000166; ExonInfo:555722:556195; total_nExon:1,218,221,-0.02,Both,10,LG
TCONS_00000198,Pf3D7_02_v3,576987,577276,0.1724138,Pf3D7_02_v3:576987-577276,290,+, oId CUFF.238.1; transcript_id TCONS_00000198; tss_id TSS185;gene_id XLOC_000168; ExonInfo:576987:577276; total_nExon:1,731,1239,-0.76,C,10,LG
TCONS_00000199,Pf3D7_02_v3,602381,602936,0.147482,Pf3D7_02_v3:602381-602936,556,+, oId CUFF.241.1; transcript_id TCONS_00000199; tss_id TSS186;gene_id XLOC_000169; ExonInfo:602381:602936; total_nExon:1,2663,2335,0.19,Both,7,S
TCONS_00000200,Pf3D7_02_v3,603366,604830,0.1085324,Pf3D7_02_v3:603366-604830,1465,+, oId CUFF.242.1; transcript_id TCONS_00000200; tss_id TSS187;gene_id XLOC_000170; ExonInfo:603366:604830; total_nExon:1,350,368,-0.07,Both,7,S
TCONS_00000201,Pf3D7_02_v3,632538,633068,0.103578154,Pf3D7_02_v3:632538-633068,531,+, oId CUFF.245.1; transcript_id TCONS_00000201; tss_id TSS188;gene_id XLOC_000171; ExonInfo:632538:633068; total_nExon:1,229,144,0.67,N,6,S
TCONS_00000203,Pf3D7_02_v3,699653,700324,0.172619048,Pf3D7_02_v3:699653-700324,672,+, oId CUFF.253.1; transcript_id TCONS_00000203; tss_id TSS190;gene_id XLOC_000173; ExonInfo:699653:699817|700026:700324; total_nExon:2,691,403,0.78,N,6,S
TCONS_00000205,Pf3D7_02_v3,719318,720238,0.1628664,Pf3D7_02_v3:719318-720238,921,+, oId CUFF.258.1; transcript_id TCONS_00000205; tss_id TSS192;gene_id XLOC_000175; ExonInfo:719318:720238; total_nExon:1,19289,28398,-0.56,C,7,S
TCONS_00000207,Pf3D7_02_v3,746643,747123,0.1309771,Pf3D7_02_v3:746643-747123,481,+, oId CUFF.264.1; transcript_id TCONS_00000207; tss_id TSS194;gene_id XLOC_000177; ExonInfo:746643:747123; total_nExon:1,723,889,-0.3,Both,7,S
TCONS_00000211,Pf3D7_02_v3,754392,754922,0.131826742,Pf3D7_02_v3:754392-754922,531,+, oId CUFF.268.2; transcript_id TCONS_00000211; tss_id TSS197;gene_id XLOC_000180; ExonInfo:754392:754452|754646:754819|754888:754922; total_nExon:3| oId CUFF.268.1; transcript_id TCONS_00000210; tss_id TSS197;gene_id XLOC_000180; ExonInfo:754392:754452|754690:754922; total_nExon:2,4032,4833,-0.26,Both,5,T
TCONS_00000215,Pf3D7_02_v3,795420,796057,0.089341693,Pf3D7_02_v3:795420-796057,638,+, oId CUFF.280.1; transcript_id TCONS_00000215; tss_id TSS201;gene_id XLOC_000184; ExonInfo:795420:796057; total_nExon:1,283,397,-0.49,Both,2,R
TCONS_00000217,Pf3D7_02_v3,808264,808965,0.128205128,Pf3D7_02_v3:808264-808965,702,+, oId CUFF.283.1; transcript_id TCONS_00000217; tss_id TSS203;gene_id XLOC_000186; ExonInfo:808264:808965; total_nExon:1,2105,4520,-1.1,C,5,T
TCONS_00000218,Pf3D7_02_v3,811802,812563,0.12335958,Pf3D7_02_v3:811802-812563,762,+, oId CUFF.286.1; transcript_id TCONS_00000218; tss_id TSS204;gene_id XLOC_000187; ExonInfo:811802:812563; total_nExon:1,522,483,0.11,Both,4,T
TCONS_00000219,Pf3D7_02_v3,814813,815414,0.107973422,Pf3D7_02_v3:814813-815414,602,+, oId CUFF.288.1; transcript_id TCONS_00000219; tss_id TSS205;gene_id XLOC_000188; ExonInfo:814813:815414; total_nExon:1,491,196,1.32,N,6,S
TCONS_00000220,Pf3D7_02_v3,815975,817271,0.128758674,Pf3D7_02_v3:815975-817271,1297,+, oId CUFF.290.1; transcript_id TCONS_00000220; tss_id TSS206;gene_id XLOC_000189; ExonInfo:815975:817271; total_nExon:1,197,101,0.96,N,4,T
TCONS_00000221,Pf3D7_02_v3,818273,819075,0.128268991,Pf3D7_02_v3:818273-819075,803,+, oId CUFF.292.1; transcript_id TCONS_00000221; tss_id TSS207;gene_id XLOC_000190; ExonInfo:818273:819075; total_nExon:1,197,107,0.89,N,6,S
TCONS_00000224,Pf3D7_02_v3,827253,829095,0.168204015,Pf3D7_02_v3:827253-829095,1843,+, oId CUFF.296.1; transcript_id TCONS_00000224; tss_id TSS210;gene_id XLOC_000193; ExonInfo:827253:829095; total_nExon:1,591,279,1.08,N,1,R
TCONS_00000225,Pf3D7_02_v3,832384,833277,0.123042506,Pf3D7_02_v3:832384-833277,894,+, oId CUFF.297.1; transcript_id TCONS_00000225; tss_id TSS211;gene_id XLOC_000194; ExonInfo:832384:833277; total_nExon:1,540,697,-0.37,Both,5,T
TCONS_00000226,Pf3D7_02_v3,835159,836041,0.13590034,Pf3D7_02_v3:835159-836041,883,+, oId CUFF.298.1; transcript_id TCONS_00000226; tss_id TSS212;gene_id XLOC_000195; ExonInfo:835159:836041; total_nExon:1,452,429,0.08,Both,2,R
TCONS_00000227,Pf3D7_02_v3,836956,837950,0.140703518,Pf3D7_02_v3:836956-837950,995,+, oId CUFF.301.1; transcript_id TCONS_00000227; tss_id TSS213;gene_id XLOC_000196; ExonInfo:836956:837950; total_nExon:1,1586,778,1.03,N,6,S
TCONS_00000231,Pf3D7_02_v3,853614,854252,0.126760563,Pf3D7_02_v3:853614-854252,639,+, oId CUFF.307.1; transcript_id TCONS_00000231; tss_id TSS217;gene_id XLOC_000200; ExonInfo:853614:854252; total_nExon:1,267,267,0,Both,2,R
TCONS_00000232,Pf3D7_02_v3,857503,858278,0.215206186,Pf3D7_02_v3:857503-858278,776,+, oId CUFF.308.1; transcript_id TCONS_00000232; tss_id TSS218;gene_id XLOC_000201; ExonInfo:857503:858278; total_nExon:1,430,125,1.79,N,4,T
TCONS_00000234,Pf3D7_02_v3,866083,866616,0.215355805,Pf3D7_02_v3:866083-866616,534,+, oId CUFF.312.1; transcript_id TCONS_00000234; tss_id TSS220;gene_id XLOC_000203; ExonInfo:866083:866616; total_nExon:1,260,150,0.79,N,1,R
TCONS_00000237,Pf3D7_02_v3,924616,925666,0.248334919,Pf3D7_02_v3:924616-925666,1051,+, oId CUFF.319.1; transcript_id TCONS_00000237; tss_id TSS223;gene_id XLOC_000206; ExonInfo:924616:925666; total_nExon:1,101,110,-0.13,Both,2,R
TCONS_00000239,Pf3D7_02_v3,940214,946554,0.317615518,Pf3D7_02_v3:940214-946554,6341,+, oId CUFF.321.1; transcript_id TCONS_00000239; tss_id TSS225;gene_id XLOC_000208; ExonInfo:940214:943548|943684:946554; total_nExon:2,4672,2184,1.1,N,1,R
TCONS_00000240,Pf3D7_02_v3,1139,7687,0.313788365,Pf3D7_02_v3:1139-7687,6549,-, oId CUFF.135.2; transcript_id TCONS_00000240; tss_id TSS226;gene_id XLOC_000209; ExonInfo:1139:2423|2588:4124|4388:6452; total_nExon:3| oId CUFF.135.1; transcript_id TCONS_00000241; tss_id TSS227;gene_id XLOC_000209; ExonInfo:1139:2423|2588:7687; total_nExon:2,7109,3426,1.05,N,1,R
TCONS_00000247,Pf3D7_02_v3,59417,59824,0.147058824,Pf3D7_02_v3:59417-59824,408,-, oId CUFF.143.1; transcript_id TCONS_00000247; tss_id TSS233;gene_id XLOC_000215; ExonInfo:59417:59824; total_nExon:1,173,9,4.25,N,6,S
TCONS_00000250,Pf3D7_02_v3,71261,72048,0.195431472,Pf3D7_02_v3:71261-72048,788,-, oId CUFF.147.1; transcript_id TCONS_00000250; tss_id TSS236;gene_id XLOC_000218; ExonInfo:71261:72048; total_nExon:1,1097,584,0.91,N,3,R/T
TCONS_00000264,Pf3D7_02_v3,106608,107084,0.161425577,Pf3D7_02_v3:106608-107084,477,-, oId CUFF.155.1; transcript_id TCONS_00000264; tss_id TSS246;gene_id XLOC_000224; ExonInfo:106608:107084; total_nExon:1,1447,735,0.98,N,6,S
TCONS_00000269,Pf3D7_02_v3,114303,116476,0.118215271,Pf3D7_02_v3:114303-116476,2174,-, oId CUFF.160.1; transcript_id TCONS_00000269; tss_id TSS250;gene_id XLOC_000227; ExonInfo:114303:116476; total_nExon:1,936,615,0.61,N,1,R
TCONS_00000270,Pf3D7_02_v3,118421,119338,0.124183007,Pf3D7_02_v3:118421-119338,918,-, oId CUFF.162.1; transcript_id TCONS_00000270; tss_id TSS251;gene_id XLOC_000228; ExonInfo:118421:119338; total_nExon:1,2089,1311,0.67,N,4,T
TCONS_00000271,Pf3D7_02_v3,124340,126925,0.134957463,Pf3D7_02_v3:124340-126925,2586,-, oId CUFF.164.1; transcript_id TCONS_00000271; tss_id TSS252;gene_id XLOC_000229; ExonInfo:124340:126925; total_nExon:1,413,464,-0.17,Both,5,T
TCONS_00000281,Pf3D7_02_v3,190235,191474,0.1330645,Pf3D7_02_v3:190235-191474,1240,-, oId CUFF.173.1; transcript_id TCONS_00000281; tss_id TSS260;gene_id XLOC_000234; ExonInfo:190235:191474; total_nExon:1,3414,4680,-0.46,Both,7,S
