lncRNA_ID,chromosome,start,end,strand,length,GC content (%),subtype,evidence ranking,overlapping feature,antisense feature,contains a structural RNA,contains intron,contains multiple introns,putatively essential (no piggybac insertions),overlap PlasmoDB listed lncRNAs,PlasmoDB listed name,intersect Broadbent et al. annotation,intersect Chappell et al. predicted ncRNAs,intersect Siegel et al. natural antisense transcripts,intersect Yang et al. predicted transcripts,intersect Liao et al. annotation,novel
Pf3D7lncRNA_0016,Pf3D7_01_v3,139571,143564,+,3994,17.1,As-G,1,,"UTR (PF3D7_0103100, PF3D7_0103300), PF3D7_0103200",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0017,Pf3D7_01_v3,177023,177331,-,309,15.53,As-UTR,8,,"UTR (PF3D7_0104000, PF3D7_0104100)",NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0018,Pf3D7_01_v3,181020,182140,-,1121,18.02,UTR-asc,3,PF3D7_0104200,PF3D7_0104100,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0019,Pf3D7_01_v3,185377,186081,-,705,11.06,UTR-asc,7,PF3D7_0104200,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0020,Pf3D7_01_v3,185921,186656,+,736,10.05,As-UTR,7,,"UTR (PF3D7_0104200), LncRNA",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0021,Pf3D7_01_v3,187199,188722,-,1524,12.53,As-UTR,1,,UTR (PF3D7_0104300),NO,NO,NO,NO,NO,,YES,YES,NO,NO,YES,NO
Pf3D7lncRNA_0022,Pf3D7_01_v3,200368,201357,-,990,20.81,As-G,1,,PF3D7_0104300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0023,Pf3D7_01_v3,213865,214631,+,767,16.04,Intergenic,7,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0024,Pf3D7_01_v3,215113,220264,-,5152,17.9,As-G,1,,PF3D7_0104800,NO,NO,NO,NO,YES,PF3D7_0104900,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0025,Pf3D7_01_v3,226058,226581,+,524,14.89,As-UTR,8,,UTR (PF3D7_0105400),NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0026,Pf3D7_01_v3,227820,229292,+,1473,19.96,As-G,4,,PF3D7_0105500,NO,NO,NO,NO,NO,,YES,YES,YES,YES,NO,NO
Pf3D7lncRNA_0027,Pf3D7_01_v3,235227,235501,+,275,16.73,Intergenic,8,,,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0028,Pf3D7_01_v3,248312,250015,+,1704,19.48,As-G,5,,PF3D7_0105800,NO,YES,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0029,Pf3D7_01_v3,259573,261650,+,2078,19.68,As-G,7,,PF3D7_0106100,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0030,Pf3D7_01_v3,264617,266219,+,1603,20.9,As-G,1,,PF3D7_0106300,NO,UNCLEAR,UNCLEAR,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0031,Pf3D7_01_v3,269747,271921,+,2175,11.17,As-UTR,1,,UTR (PF3D7_0106300),NO,NO,NO,NO,NO,,YES,NO,NO,NO,YES,NO
Pf3D7lncRNA_0032,Pf3D7_01_v3,273207,273555,-,349,20.34,As-G,7,,PF3D7_0106400,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0033,Pf3D7_01_v3,285497,286576,-,1080,12.96,As-UTR,1,,"UTR (PF3D7_0106700, PF3D7_0106800)",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0034,Pf3D7_01_v3,287008,289754,-,2747,16.13,As-G,2,,PF3D7_0106800,NO,NO,NO,NO,NO,,NO,YES,NO,YES,NO,NO
Pf3D7lncRNA_0035,Pf3D7_01_v3,293871,294343,-,473,17.97,As-G,8,,PF3D7_0107000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0036,Pf3D7_01_v3,302174,302388,-,215,13.02,Intergenic,7,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0037,Pf3D7_01_v3,310751,312527,+,1777,9.96,As-UTR,4,,UTR (PF3D7_0107500),NO,NO,NO,NO,NO,,YES,YES,NO,YES,NO,NO
Pf3D7lncRNA_0038,Pf3D7_01_v3,313151,313647,+,497,13.28,Intergenic,9,,,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0039,Pf3D7_01_v3,332564,334127,-,1564,16.75,As-G,1,,PF3D7_0108100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0040,Pf3D7_01_v3,334492,336092,+,1601,10.74,UTR-asc,1,PF3D7_0108300,LncRNA,NO,NO,NO,NO,NO,,YES,YES,NO,YES,NO,NO
Pf3D7lncRNA_0041,Pf3D7_01_v3,334633,335787,-,1155,11.26,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0042,Pf3D7_01_v3,360346,362684,-,2339,14.58,As-UTR,1,,UTR (PF3D7_0109000),NO,NO,NO,NO,YES,PF3D7_0108900,NO,YES,NO,YES,NO,NO
Pf3D7lncRNA_0043,Pf3D7_01_v3,366744,367253,-,510,24.71,As-G,9,,PF3D7_0109100,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0044,Pf3D7_01_v3,370945,374130,+,3186,17.64,As-G,1,,PF3D7_0109300,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0045,Pf3D7_01_v3,377175,377551,+,377,7.43,As-UTR,7,,"UTR (PF3D7_0109500, PF3D7_0109600)",NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0046,Pf3D7_01_v3,381523,382511,-,989,26.59,As-G,8,,PF3D7_0109800,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0047,Pf3D7_01_v3,383649,386156,-,2508,18.86,As-G,1,,PF3D7_0109850,NO,UNCLEAR,UNCLEAR,YES,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0048,Pf3D7_01_v3,404966,405435,-,470,12.13,As-UTR,8,,UTR (PF3D7_0110600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0049,Pf3D7_01_v3,415726,416995,+,1270,13.31,UTR-asc,4,PF3D7_0110800,UTR (PF3D7_0110700),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0050,Pf3D7_01_v3,422922,423215,+,294,15.99,As-G,8,,PF3D7_0111000,NO,NO,NO,YES,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0051,Pf3D7_01_v3,428064,430377,+,2314,14.09,As-G,4,,"UTR (PF3D7_0111000), PF3D7_0111200",NO,YES,YES,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0052,Pf3D7_01_v3,431695,431935,+,241,24.9,As-G,9,,PF3D7_0111300,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0053,Pf3D7_01_v3,461361,461957,+,597,17.59,Intergenic,9,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0054,Pf3D7_01_v3,462643,463093,-,451,12.86,Intergenic,1,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0055,Pf3D7_01_v3,469762,472065,-,2304,16.54,As-G,4,,PF3D7_0112200,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0056,Pf3D7_01_v3,491790,492939,+,1150,14.17,Intergenic,7,,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0057,Pf3D7_01_v3,518213,519604,-,1392,12,Intergenic,1,,,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0058,Pf3D7_01_v3,535147,536471,-,1325,21.66,As-G,7,,PF3D7_0113800,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0059,Pf3D7_01_v3,538808,539787,+,980,11.84,Intergenic,7,,,NO,YES,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0060,Pf3D7_01_v3,540698,541407,+,710,16.2,Intergenic,9,,,NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_0061,Pf3D7_01_v3,557748,558875,+,1128,14.54,As-G,6,,PF3D7_0114500,NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0062,Pf3D7_01_v3,563269,564823,+,1555,26.62,As-G,9,,PF3D7_0114700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0063,Pf3D7_01_v3,584584,585608,+,1025,17.56,Intergenic,1,,,NO,NO,NO,NO,YES,PF3D7_0115050,NO,NO,NO,NO,NO,NO
Pf3D7lncRNA_0064,Pf3D7_01_v3,585740,586863,+,1124,14.06,Intergenic,1,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0065,Pf3D7_01_v3,603933,605963,-,2031,25.46,As-G,4,,PF3D7_0115600,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0066,Pf3D7_01_v3,606055,606356,-,302,12.25,Intergenic,4,,,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0067,Pf3D7_01_v3,606448,606799,-,352,10.51,As-lncRNA,9,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0068,Pf3D7_01_v3,606656,607615,+,960,14.37,As-G,3,,PF3D7_0115700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0069,Pf3D7_01_v3,608990,609518,+,529,9.64,As-Intron,4,,PF3D7_0115700,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0070,Pf3D7_02_v3,29005,29656,-,652,8.13,As-Intron,4,,PF3D7_0200100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0071,Pf3D7_02_v3,29673,31543,+,1871,25.01,Sense,1,PF3D7_0200100,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0072,Pf3D7_02_v3,31199,31916,-,718,9.89,As-UTR,5,,UTR (PF3D7_0200100),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0073,Pf3D7_02_v3,58174,58798,+,625,14.88,As-G,6,,PF3D7_0201000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0074,Pf3D7_02_v3,90011,90471,+,461,13.23,As-UTR,7,,UTR (PF3D7_0201900),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0075,Pf3D7_02_v3,108875,111051,+,2177,17.32,As-G,4,,PF3D7_0202100,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0076,Pf3D7_02_v3,115746,116789,-,1044,13.6,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0077,Pf3D7_02_v3,118640,119297,-,658,12.31,As-UTR,1,,UTR (PF3D7_0202300),NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0078,Pf3D7_02_v3,138885,141405,-,2521,17.96,UTR-asc,4,"PF3D7_0202800, PF3D7_0203000",PF3D7_0202900,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0079,Pf3D7_02_v3,149109,149896,+,788,17.77,As-G,7,,PF3D7_0203100,NO,YES,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0080,Pf3D7_02_v3,164673,165546,-,874,16.25,Intergenic,5,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0081,Pf3D7_02_v3,170886,171211,+,326,10.12,As-UTR,7,,UTR (PF3D7_0203800),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0082,Pf3D7_02_v3,190359,191005,+,647,12.83,Intergenic,1,,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0083,Pf3D7_02_v3,193294,194092,-,799,20.4,UTR-asc,8,PF3D7_0204300,PF3D7_0204200,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0084,Pf3D7_02_v3,200063,200318,+,256,14.84,As-UTR,7,,UTR (PF3D7_0204600),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0085,Pf3D7_02_v3,204289,205672,+,1384,11.92,As-UTR,4,,"UTR (PF3D7_0204600, PF3D7_0204700)",NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0086,Pf3D7_02_v3,208135,209235,+,1101,13.17,As-UTR,1,,UTR (PF3D7_0204800),NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_0087,Pf3D7_02_v3,250991,251784,-,794,16.5,As-UTR,4,,UTR (PF3D7_0206200),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0088,Pf3D7_02_v3,269063,269578,+,516,10.66,As-UTR,4,,UTR (PF3D7_0206600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0089,Pf3D7_02_v3,270304,270685,+,382,15.97,As-G,8,,PF3D7_0206600,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0090,Pf3D7_02_v3,275232,276319,+,1088,20.86,As-G,1,,PF3D7_0206900,NO,NO,NO,NO,NO,,YES,NO,YES,YES,NO,NO
Pf3D7lncRNA_0091,Pf3D7_02_v3,279055,279574,+,520,14.04,As-UTR,8,,UTR (PF3D7_0207000),NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_0092,Pf3D7_02_v3,288824,290195,+,1372,14.87,As-G,1,,"UTR (PF3D7_0207200), PF3D7_0207300",NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0093,Pf3D7_02_v3,290434,290838,+,405,24.2,As-G,9,,PF3D7_0207300,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0094,Pf3D7_02_v3,298816,299020,+,205,20,As-G,9,,PF3D7_0207500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0095,Pf3D7_02_v3,303086,304503,+,1418,22.57,As-G,4,,PF3D7_0207600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0096,Pf3D7_02_v3,308103,308792,+,690,14.64,As-UTR,1,,UTR (PF3D7_0207700),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0097,Pf3D7_02_v3,312720,313049,+,330,16.67,As-UTR,7,,UTR (PF3D7_0207800),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0098,Pf3D7_02_v3,317194,317506,+,313,9.27,As-UTR,1,,UTR (PF3D7_0207900),NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0099,Pf3D7_02_v3,352610,354106,-,1497,15.83,As-G,4,,PF3D7_0208500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0100,Pf3D7_02_v3,399550,401554,+,2005,23.34,As-G,1,,PF3D7_0209700,NO,YES,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0101,Pf3D7_02_v3,402746,403843,+,1098,16.03,As-UTR,7,,UTR (PF3D7_0209800),NO,YES,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_0102,Pf3D7_02_v3,407337,408594,+,1258,15.42,UTR-asc,7,PF3D7_0210000,,NO,NO,NO,NO,YES,PF3D7_0209900,NO,NO,NO,NO,NO,NO
Pf3D7lncRNA_0103,Pf3D7_02_v3,410585,411335,-,751,15.85,As-UTR,1,,UTR (PF3D7_0210000),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0104,Pf3D7_02_v3,422010,425060,+,3051,20.26,As-G,1,,PF3D7_0210300,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0105,Pf3D7_02_v3,443650,445267,+,1618,15.76,Intergenic,1,,,NO,NO,NO,NO,YES,PF3D7_0211000,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0106,Pf3D7_02_v3,459004,460701,+,1698,18.67,As-G,1,,PF3D7_0211400,NO,UNCLEAR,UNCLEAR,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0107,Pf3D7_02_v3,466354,467168,-,815,16.56,As-G,7,,PF3D7_0211500,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0108,Pf3D7_02_v3,467246,469390,-,2145,17.44,As-G,1,,"UTR (PF3D7_0211500, PF3D7_0211700), PF3D7_0211600",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0109,Pf3D7_02_v3,472329,474455,-,2127,18.43,As-G,1,,PF3D7_0211700,NO,YES,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0110,Pf3D7_02_v3,479759,481624,-,1866,18.92,UTR-asc,1,PF3D7_0211900,PF3D7_0212000,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0111,Pf3D7_02_v3,496115,496628,+,514,19.46,As-G,9,,PF3D7_0212400,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0112,Pf3D7_02_v3,520774,522191,-,1418,17,As-G,1,,PF3D7_0212500,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0113,Pf3D7_02_v3,523091,523539,-,449,19.82,As-Intron,8,,PF3D7_0212600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0114,Pf3D7_02_v3,526819,532281,-,5463,20.03,As-G,1,,PF3D7_0212800,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0115,Pf3D7_02_v3,535888,536438,-,551,17.06,As-G,5,,PF3D7_0213000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0116,Pf3D7_02_v3,574467,575691,+,1225,21.71,As-G,4,,PF3D7_0214200,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0117,Pf3D7_02_v3,591335,591856,-,522,22.41,As-G,7,,PF3D7_0214500,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0118,Pf3D7_02_v3,603140,603577,-,438,10.73,As-UTR,7,,UTR (PF3D7_0214800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0119,Pf3D7_02_v3,609459,609864,-,406,13.05,As-UTR,7,,UTR (PF3D7_0214800),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0120,Pf3D7_02_v3,620789,621457,+,669,10.46,As-UTR,7,,UTR (PF3D7_0215000),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0121,Pf3D7_02_v3,622003,622627,+,625,13.76,As-G,7,,PF3D7_0215100,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0122,Pf3D7_02_v3,623699,624068,+,370,22.7,As-G,9,,PF3D7_0215100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0123,Pf3D7_02_v3,628250,629162,+,913,19.17,As-G,1,,PF3D7_0215300,NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0124,Pf3D7_02_v3,654194,654490,+,297,14.14,As-UTR,1,,UTR (PF3D7_0215900),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0125,Pf3D7_02_v3,674168,674903,-,736,21.47,As-G,7,,PF3D7_0216300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0126,Pf3D7_02_v3,683687,685359,-,1673,14.35,As-G,1,,PF3D7_0216500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0127,Pf3D7_02_v3,689208,690349,-,1142,14.62,As-G,8,,PF3D7_0216600,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0128,Pf3D7_02_v3,717918,718817,-,900,18.89,As-G,4,,PF3D7_0217400,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0129,Pf3D7_02_v3,723985,724396,+,412,25,As-G,9,,PF3D7_0217600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0130,Pf3D7_02_v3,730702,731431,+,730,16.16,As-G,4,,PF3D7_0217700,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0131,Pf3D7_02_v3,746720,749891,+,3172,15.45,As-G,1,,PF3D7_0218300,NO,YES,YES,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0132,Pf3D7_02_v3,753579,753828,-,250,12.4,As-UTR,9,,UTR (PF3D7_0218500),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0133,Pf3D7_02_v3,765633,766171,+,539,12.62,As-UTR,1,,UTR (PF3D7_0218800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0134,Pf3D7_02_v3,765768,767414,-,1647,17.97,As-lncRNA,2,,LncRNA,NO,NO,NO,NO,YES,PF3D7_0218800,NO,NO,NO,NO,NO,NO
Pf3D7lncRNA_0135,Pf3D7_02_v3,767575,768421,-,847,13.7,Intergenic,1,,,YES,NO,NO,NO,YES,"PF3D7_0218900, PF3D7_0219000",NO,NO,NO,NO,NO,NO
Pf3D7lncRNA_0136,Pf3D7_02_v3,778597,780331,+,1735,20.23,As-G,4,,PF3D7_0219600,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0137,Pf3D7_02_v3,782925,784281,+,1357,16.73,As-G,7,,PF3D7_0219700,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0138,Pf3D7_02_v3,790255,791490,+,1236,11.17,UTR-asc,1,PF3D7_0219900,,NO,NO,NO,NO,NO,,YES,YES,NO,YES,NO,NO
Pf3D7lncRNA_0139,Pf3D7_02_v3,792465,793668,-,1204,14.04,As-UTR,1,,UTR (PF3D7_0219900),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0140,Pf3D7_02_v3,794439,795128,-,690,12.32,As-UTR,7,,UTR (PF3D7_0220000),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0141,Pf3D7_02_v3,801974,802709,-,736,13.18,As-UTR,7,,UTR (PF3D7_0220000),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0142,Pf3D7_02_v3,811924,813492,+,1569,11.66,As-UTR,1,,"UTR (PF3D7_0220200, PF3D7_0220300)",NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
