Gene ID,Transcript ID,Chromosome,Start,Stop,Strand,Length,Exon count,Exon lengths,Relative Exon starts,GC content,Coding potential,Mean expression ,Max expression ,Max expression time-point ,Log2 fold change ,Significant Differential GENE Expression,Max JS Specificity score ,More correlated neighbor                 ,More correlated neighbor            description       ,Correlation with more correlated neighbor                ,Orientation with respect to more correlated neighbor             ,Distance from more correlated neighbor              ,Less correlated neighbor     ,Less correlated neighbor description       ,Correlation with less correlated neighbor ,Distance from less correlated neighbor,FPKM T20,FPKM T24,FPKM T28,FPKM T32,FPKM T36,FPKM T40,FPKM T44,FPKM T48,FPKM TT8,FPKM R,FPKM ET,FPKM LT,FPKM S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000120,TCONS_00000133,Pf3D7_01_v3,259437,259761,+,324,1,"324,","0,",0.15,,11.09,45.88,T48,5.55,,0.22,PF3D7_0106000,"conserved Plasmodium protein, unknown function",0.93,divergent,894,PF3D7_0106100,"vacuolar ATP synthase subunit c, putative",-0.060236218,896,0.00,1.09,0.00,2.32,12.33,17.01,25.97,45.88,5.65,0.00,1.71,14.15,102.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000229,TCONS_00000282,Pf3D7_01_v3,269405,269997,-,592,1,"592,","0,",0.11,,12.10,20.76,T28,3.13,,0.14,NA,NA,NA,NA,NA,PF3D7_0106300,calcium-transporting ATPase (ATP6),-0.484351972,232,11.65,7.68,20.76,11.78,14.84,18.64,15.63,1.48,8.98,12.17,0.88,1.58,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000122,TCONS_00000135,Pf3D7_01_v3,270551,271537,+,986,1,"986,","0,",0.14,,16.06,38.82,T20,2.85,YES,0.15,PF3D7_0106400,"pre-rRNA-processing protein TSR2, putative",0.69,tandem,916,NA,NA,NA,NA,38.82,11.02,14.17,13.86,7.79,11.84,12.18,4.54,27.03,15.47,3.43,4.06,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000133,TCONS_00000147,Pf3D7_01_v3,311379,311925,+,546,1,"546,","0,",0.10,,8.33,40.07,TT8,4.67,,0.21,PF3D7_0107500,lipid/sterol:H  symporter,0.65,divergent,2122,NA,NA,NA,NA,4.28,0.62,0.80,3.02,2.26,3.24,7.26,13.24,40.07,9.96,2.83,0.82,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000134,TCONS_00000148,Pf3D7_01_v3,312214,313610,+,1396,1,"1396,","0,",0.13,,4.25,11.61,TT8,3.27,,0.18,NA,NA,NA,NA,NA,PF3D7_0107600,"serine/threonine protein kinase, putative",0.054249155,1007,7.09,3.46,3.46,4.52,1.58,0.31,3.49,0.92,11.61,6.21,1.34,4.32,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000236,TCONS_00000290,Pf3D7_01_v3,335143,335877,-,734,1,"734,","0,",0.11,,24.80,98.48,T20,4.99,,0.18,NA,NA,NA,NA,NA,PF3D7_0108100,"conserved Plasmodium protein, unknown function",-0.754783661,2435,98.48,43.07,33.40,11.52,4.42,2.14,5.63,2.15,42.31,24.96,9.58,6.19,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000138,TCONS_00000154,Pf3D7_01_v3,335774,337034,+,1260,1,"1260,","0,",0.11,,60.08,107.09,TT8,1.79,,0.13,PF3D7_0108300,"conserved Plasmodium protein, unknown function",0.94,tandem,133,NA,NA,NA,NA,62.47,64.36,55.42,30.19,34.82,36.81,55.57,78.75,107.09,51.27,79.45,57.20,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000140,TCONS_00000157,Pf3D7_01_v3,347063,348043,+,980,1,"980,","0,",0.10,,12.63,38.47,TT8,4.55,YES,0.18,PF3D7_0108400.1,"mitochondrial carrier protein, putative",0.79,divergent,523,PF3D7_0108500,"conserved Plasmodium protein, unknown function",0.69852912,1126,24.63,21.12,6.34,4.20,0.76,0.68,4.71,6.25,38.47,27.76,1.79,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000258,TCONS_00000328,Pf3D7_01_v3,463233,463884,-,651,1,"651,","0,",0.14,,4.93,15.83,T32,4.07,,0.21,PF3D7_0112200,multidrug resistance-associated protein 1 (MRP1),0.84,divergent,841,PF3D7_0112100,"conserved Plasmodium protein, unknown function",-0.455147029,7895,3.02,8.42,12.63,15.83,4.33,6.09,1.58,0.00,1.81,1.07,2.13,4.11,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000259,TCONS_00000329,Pf3D7_01_v3,471296,472188,-,892,1,"892,","0,",0.16,,10.87,28.10,T36,3.64,,0.17,PF3D7_0112200,multidrug resistance-associated protein 1 (MRP1),0.24,convergent,1102,NA,NA,NA,NA,7.22,2.30,5.09,15.99,28.10,26.70,14.75,1.34,7.87,7.67,1.13,7.06,14.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000164,TCONS_00000192,Pf3D7_01_v3,491220,493065,+,1845,1,"1845,","0,",0.15,,3.56,15.42,T20,4.04,,0.26,PF3D7_0113000,glutamic acid-rich protein (GARP),0.96,divergent,1093,PF3D7_0113100,surface-associated interspersed protein 1.1 (SURFIN 1.1) (SURF1.1),-0.200783754,2178,15.42,8.52,7.38,3.74,0.31,0.42,0.14,0.00,0.00,6.34,6.84,3.53,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000170,TCONS_00000200,Pf3D7_01_v3,539706,540807,+,1101,1,"1101,","0,",0.15,,9.59,33.24,T20,4.48,YES,0.21,PF3D7_0113900,"Plasmodium exported protein (hyp8), unknown function (GEXP10)",0.86,divergent,1681,PF3D7_0114000,"RESA-like protein with DnaJ domain, putative (GEXP06)",0.52085304,1672,33.24,8.91,2.60,2.36,1.30,0.70,1.69,0.53,26.82,17.85,3.21,1.19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000403,TCONS_00000533,Pf3D7_02_v3,1651,7840,-,6189,1,"6189,","0,",0.32,,3.90,26.47,T48,4.76,YES,0.33,PF3D7_0200100,"erythrocyte membrane protein 1, PfEMP1 (VAR)",-0.09,divergent,17391,NA,NA,NA,NA,0.09,0.08,0.01,0.02,0.05,0.87,3.51,26.47,4.38,0.00,0.00,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000283,TCONS_00000356,Pf3D7_02_v3,115036,116662,+,1626,1,"1626,","0,",0.13,,15.20,96.56,TT8,6.48,YES,0.25,PF3D7_0202200,"Plasmodium exported protein, unknown function",0.97,divergent,1354,NA,NA,NA,NA,15.24,2.69,0.93,0.54,0.09,0.12,2.82,5.95,96.56,7.34,0.45,0.56,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000422,TCONS_00000561,Pf3D7_02_v3,116063,116782,-,719,1,"719,","0,",0.15,,4.96,16.71,T28,4.15,,0.25,PF3D7_0202300,"Plasmodium exported protein (hyp11), unknown function",0.82,divergent,442,NA,NA,NA,NA,4.81,13.96,16.71,15.77,2.26,0.29,0.38,0.00,0.00,0.48,3.36,4.85,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000423,TCONS_00000562,Pf3D7_02_v3,118516,119309,-,793,1,"793,","0,",0.13,,9.10,27.59,T20,3.43,,0.17,PF3D7_0202400,"conserved Plasmodium protein, unknown function",0.77,divergent,1214,PF3D7_0202300,"Plasmodium exported protein (hyp11), unknown function",0.560602913,281,27.59,17.81,13.02,12.74,5.24,4.36,6.12,2.90,2.46,6.23,9.94,6.89,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000424,TCONS_00000563,Pf3D7_02_v3,125877,126911,-,1034,1,"1034,","0,",0.13,,13.92,46.85,TT8,5.37,YES,0.20,PF3D7_0202500,early transcribed membrane protein 2 (ETRAMP2),0.94,divergent,1082,PF3D7_0202400,"conserved Plasmodium protein, unknown function",-0.568205774,1775,16.29,3.92,0.49,0.16,0.16,1.09,16.18,28.61,46.85,14.58,2.30,0.97,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000294,TCONS_00000372,Pf3D7_02_v3,190318,191315,+,997,1,"997,","0,",0.14,,15.18,66.21,T48,5.37,YES,0.19,PF3D7_0204100,"conserved Plasmodium protein, unknown function",0.76,divergent,1203,PF3D7_0204200,"conserved Plasmodium protein, unknown function",0.24067836,1502,1.83,0.62,2.50,10.48,12.52,19.16,29.34,66.21,14.65,1.43,2.36,14.11,42.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000308,TCONS_00000395,Pf3D7_02_v3,279375,280103,+,728,1,"728,","0,",0.19,,19.95,64.25,T44,6.03,YES,0.20,PF3D7_0207000,merozoite surface protein 4 (MSP4),0.97,divergent,919,PF3D7_0207100,"conserved Plasmodium protein, unknown function",0.899807215,1803,0.00,0.32,0.84,4.42,12.09,34.65,64.25,23.72,40.39,4.76,0.47,4.64,59.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000318,TCONS_00000409,Pf3D7_02_v3,402933,403876,+,943,1,"943,","0,",0.17,,11.16,31.21,TT8,3.58,YES,0.17,PF3D7_0209800,ATP-dependent RNA helicase UAP56 (UAP56),0.73,convergent,404,PF3D7_0209700,"RING zinc finger protein, putative",0.585703897,1074,20.27,12.19,6.66,5.83,1.69,2.35,5.81,1.71,31.21,21.71,7.95,6.04,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000320,TCONS_00000411,Pf3D7_02_v3,409332,409877,+,388,2,"191,197,","0,348,",0.15,,203.67,354.01,T20,2.15,YES,0.13,PF3D7_0209900,unspecified product,0.17,tandem,894,NA,NA,NA,NA,354.01,309.08,187.28,104.58,203.43,272.34,220.29,151.85,103.30,300.87,227.87,146.63,190.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000348,TCONS_00000459,Pf3D7_02_v3,603549,604553,+,1004,1,"1004,","0,",0.10,,5.91,30.13,T6,4.96,YES,0.24,PF3D7_0214700,"conserved Plasmodium protein, unknown function",0.62,divergent,1837,PF3D7_0214800,"conserved Plasmodium membrane protein, unknown function",0.569387526,491,0.00,0.83,2.20,0.80,1.94,1.86,10.56,1.15,12.47,3.15,0.65,2.23,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000502,TCONS_00000686,Pf3D7_02_v3,688696,689559,-,863,1,"863,","0,",0.16,YES,5.93,17.46,T48,4.21,,0.24,PF3D7_0216700.1,"conserved Plasmodium protein, unknown function",0.90,divergent,751,PF3D7_0216600,MtN3-like protein,0.760782746,151,0.49,0.00,0.00,0.16,0.15,1.28,12.44,17.46,16.86,1.92,1.15,0.00,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000524,TCONS_00000715,Pf3D7_02_v3,789524,790212,-,688,1,"688,","0,",0.15,,19.03,61.70,TT8,3.81,YES,0.17,PF3D7_0219800,"Plasmodium exported protein (PHISTc), unknown function",0.79,tandem,1584,NA,NA,NA,NA,30.23,14.81,11.44,3.47,3.52,3.56,15.63,8.02,61.70,23.63,3.04,1.07,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000372,TCONS_00000501,Pf3D7_02_v3,790525,790759,+,234,1,"234,","0,",0.12,,57.97,219.98,T14,7.79,YES,0.21,NA,NA,NA,NA,NA,PF3D7_0219900,"Plasmodium exported protein, unknown function",0.647004633,704,86.47,71.20,26.89,3.68,0.00,2.58,0.00,0.00,189.06,143.95,27.61,0.00,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000525,TCONS_00000716,Pf3D7_02_v3,802213,802981,-,768,1,"768,","0,",0.14,,12.70,55.97,TT8,5.17,YES,0.20,PF3D7_0220100,"DnaJ protein, putative",0.93,divergent,1538,PF3D7_0220000,liver stage antigen 3 (LSA3),0.518736703,627,21.22,7.60,5.15,5.23,1.44,0.59,3.14,3.47,55.97,16.27,3.42,4.62,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_000376,TCONS_00000505,Pf3D7_02_v3,811800,812843,+,1043,1,"1043,","0,",0.12,,14.89,39.51,T20,4.18,YES,0.17,PF3D7_0220200,"Plasmodium exported protein, unknown function",0.87,divergent,1502,PF3D7_0220300,"Plasmodium exported protein, unknown function",0.425748305,983,39.51,22.76,10.46,12.29,5.56,5.44,2.58,1.24,28.83,17.81,4.44,8.05,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
